Staff-Lead TOs,Info-Cap,$-Pot Split,Matcherino URL,956P Notes,Game,Pools-Bracket Type,Pools-Rounds per Game,Pools-Games per Set,Rules-Chara Change,Rules-Glitches,Finals-Games per Set,$-Total Match,Time-Desired Day,Time-Start Day,Smash URL,Setups-Secured,Info-Current Entrants,Time-Est. Run Time,IRL-Unreg,Data-Schedule,Status,Data-Platform,Time-Alternate Days,Data-URLs,Setups-Total Needed,✓-Slide,IRL-Unregs,Announced,In smash,Info-Entry Fee,Slide,Abbr-Game,Data-Platform Short Name,Tournament,Rollup-Streamers,Rollup-Lead TOs,Tournaments (Encoded),Date Added,Discord Role,Info-% of Cap,# of Commentators,Date Modified,Data-Game Record ID,Staff-Lead TO Match ID,Matcherino Admin URL,Twitter-Lead TO,# Done,📺 Main Stream,📋 Brackets,🌐 Info,$-Match Paid Out,$-Winners Info,$-Top 8 Info Collected,$-# of Payouts,Setups-%,Staff-Lead TO Smash ID,Time-Run Time #,Time-Run Time,Time-Start Pools,Meta-Time-Start Pools String,Staff-Lead TO Discord ID,Game Name,Info-Entrants/Cap,Short Name,Img-Game Logo,💰 Matcherino,Data-Waves,Time-Start Finals,2nd Lineup,Staff-Bracket Runners,Rules-Game Settings,Rules-Notes,✓-Scheduled,✓-Data,Staff-Commentators,Time-Desired Time,Rollup-Commentators,Rollup-BRs,Time-Unable Days,1st Lineup,$-Match Final,Bracket Created,$-Pot Bonus Info,$-Pot Bonus Amount,Staff-Support,Info-Comments,Info-Software Needed,? Maybe,$-Prizes,$-Pot Split Further
recNB9mbnIyyO0DxA,32,70/20/10,https://matcherino.com/tournaments/132308,?TO: JD Byron,recvPVOP4nNf0mmTC,Double Elimination,2/3,2/3,Winner must keep character. Loser may switch.,Kaori Airwalk infinite banned,"3/5 Games for Losers Finals, 3/5 Games for Winners Finals, 3/5 Games for Grand Finals",0,Sun. 1/26,Sun,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xvii/event/advanced-v-g-2,3,10,3 Hours,recc8xIiw0xGt39mI,"rec5uXVTBwiPGZbh5, recFBSpvPRk14Ko6M",3rd Lineup,recffoXvB1EZv56rm,Sat. 1/25,recHgJzrvPhj1sI5P,4,True,recM6WhBJrRw5eb17,True,True,5,https://v5.airtableusercontent.com/v3/u/37/37/1736683200000/8SRUdiyjrqeXx7HagbBIww/DUGdyYrwIpZ-wW_l_rKHMYFVitCX-8ZyNebU1iCU-C-GDHvvB2QOK_6knZIjYKsONKddTvK3djSbq4E6WMtoXfbUnS_2uFYSGsPvoMPLoYS254FQqjRL4VrgYPSRxdm71hL8G7mLFSg8jDfOF8bdPWyjySEDk3QpEVqrDORl_-k/GP_lXDRSLDUiLgNf4QRhRikhyj0dv-Qbbb3kZI15ifI,AVG2,MiSTer,AVG2 - (MiSTer),,JD Byron,AVG2%20-%20%28MiSTer%29,2024-11-19T05:50:06.000Z,AVG2,31%,0,2025-01-10T04:21:45.000Z,recP3RJBKfNMBr5Bd,jd#834207,https://matcherino.com/tournaments/132308/admin/general,@JD__FGC,0,,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xvii/event/advanced-v-g-2,https://vortexgallery.moe/info#AVG2,0,0,0,3,0.75,3750ee50,3,3 Hours,2025-01-26T20:00:00.000Z,2025-01-26,jd_fgc,Advanced V.G. 2,10 / 32,AVG2,https://v5.airtableusercontent.com/v3/u/37/37/1736683200000/YcstFOD-rXy2sfFTjiGbfg/hNyOqMvxB6SZ-ybeshrwLVnwretN-23tPmluThjl3VMpLkSXgvgX9hJUNYwBYCwyr5NY3MRYA5ZAj4nmIAT5iU2U5tNQqkKzqQS96B-J_f8rRXE70FVjhk0ENL5htMRnqFu9GubQg0i7YES0p8kefA/N7dkYr_HVv64JhQ167I_U8TbFtE3sA4eCTW3zJFTDC0,https://matcherino.com/tournaments/132308,"recKBpvBtFowX7VYP, recUWtYnynQ5AZT4l",2025-01-26T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
rec3kLc6Rir26Ju2D,96,60/30/10,https://matcherino.com/tournaments/132263,,recz7IJG3l38UjNkG,Double Elimination,2/3,2/3,Winner must keep character. Loser may switch.,,"3/5 Games for Winners Finals, 3/5 Games for Losers Finals, 3/5 Games for Grand Finals",0,Sun. 1/26,Sun,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xvii/event/akatsuki-blitzkampf-ausf-achse-1/overview,4,24,,,"recR7SjdonWTqEXPC, recEhP8kYpO4ZS592",2nd Lineup,reckB3zOnUL5QsMlO,,recUELgKWlqJsxFsS,4,True,,True,True,10,https://v5.airtableusercontent.com/v3/u/37/37/1736683200000/nkOWz3qmbmRP8bpPzKFU9A/pCvzfMOkKcrsnBi510ryA1W33ihDIZZqNv4gFYmwdEwbpgePb_6iQAU1Y2fAzFEFysgDn-vY4ZUrb-mJi1__H3-dwK-fH0fudZF5PcK8XzuFXOh-cUWQNTRFm32r6sAocjPT3It8IA55KdX26CmwLMO_gcgbIyng_WAoL79g1Og/OFrXwvCq0MEJnFosvzjO4HStgL7xoIj9eTkdkbCRsj4,ABKAA,Flycast,ABKAA - (Flycast),,Hagure,ABKAA%20-%20%28Flycast%29,2024-09-24T03:54:16.000Z,Akatsuki Blitzkampf,25%,0,2025-01-12T06:35:40.000Z,recoqQNwa1k9jJyDq,hagure#482344,https://matcherino.com/tournaments/132263/admin/general,@Hagure,0,,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xvii/event/akatsuki-blitzkampf-ausf-achse-1/overview,https://vortexgallery.moe/info#ABKAA,0,0,0,3,1,da89a80e,4,4 Hours,2025-01-26T19:00:00.000Z,2025-01-26,hagure,Akatsuki Blitzkampf Ausf. Achse,24 / 96,ABK,https://v5.airtableusercontent.com/v3/u/37/37/1736683200000/4F3WU2ZmRnlNsGxqGXhTqg/jhJ9AcLokoBfU7XcbKIgq2r6cJ7KAhc6cT6b7bKy4Ifo1D1h2NHsjmTveXHB6otTXJBW5S8MAMHNi0oKqSSReQYSQrF8AKzUb6yGN9MX7uqYymwhFJ-l2zxmorkUu84tjpVI0e1XIgeJ1K-koXDQMsH-2fPZ4JNShea5aoQiKFojn8eCA3Y0JGc1BM3fc0w6/GwY9vl0OsEpHLBmLYSKJOO9e-14YOUDX40G878N8vjM,https://matcherino.com/tournaments/132263,"recNjx75iKVVoefdD, recLz8yRUgpcy26jb",2025-01-26T21:00:00.000Z,True,,,,,,,,,,,,,,,,,,,,,
recCaBOE2vmD2PGxh,16,70/20/10,https://matcherino.com/tournaments/132305,?TO: LBS,recmYPzwwuPigQunI,,,,,,,0,Sun. 1/26,Sun,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xvii/event/aquapazza-aquaplus-dream-match/overview,3,8,,,"recurrcT1lYsuGzCc, recND90izgYcJZhCJ",3rd Lineup,recxYihO0VlDGnnGY,,recVlTyPRO6CZfSfE,2,True,,True,True,5,https://v5.airtableusercontent.com/v3/u/37/37/1736683200000/T4ofRJ2_HxzbkO6bs4zACA/CFWzpexYx85RE6U7V5P90QJila87hcF78SC7oQeXlYIEw0SxVMICurbuKU16QhuBnsa69_nFy5LC8f7wxIKBNgmZjbOuVPK8iypVHxZzdn4BSaTaOj-7O4_Erulg9UOeeHwZF_O-b4qVgSRG0qTBfaazW78-TE6Hu-BjQzH6hpg/LCGe5Yf3ABT_Of146DDgt3QfHuqxA0mVWfCDVzqqftg,AP,PS3,AP - (PS3),,LegendaryBlueShirt,AP%20-%20%28PS3%29,2024-10-25T07:38:42.000Z,Aquapazza,50%,0,2025-01-09T19:17:18.000Z,recHL5DyrRMFxH6pN,LegendBlueShirt#754211,https://matcherino.com/tournaments/132305/admin/general,@LegendBlueShirt,0,,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xvii/event/aquapazza-aquaplus-dream-match/overview,https://vortexgallery.moe/info#AP,0,0,0,3,1.5,918faf16,3,3 Hours,2025-01-26T16:00:00.000Z,2025-01-26,insanius,Aquapazza,8 / 16,AP,https://v5.airtableusercontent.com/v3/u/37/37/1736683200000/iEtlrVxNXjStm3nMq64Faw/KJ0LCiRf20WMaZsrr4_c7hgcZsGIDgV8YOZUF7Iu6k0NGzUgQvlqv8-xl3_Aj6HoxoaDLf1q0xzybgANqTQDPDiSuI5-ZNsMZy3F46o5LUSmXM5JqLowV505up_TUoVFT6uDNfl2mHPCp_-aWXxDuQ/_IFNZwL6c-1LNRlbWxGQRRvnVisraEex-XFzghDSEtA,https://matcherino.com/tournaments/132305,"recbvTaNG9w2q3PeE, recmtkgeZWqKlwKa8",2025-01-26T18:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
reci5CtuQL7cRzWmm,32,60/30/10,https://matcherino.com/tournaments/132264,,rec4gJbTFxQrWu97X,Double Elimination,2/3,2/3,Winner must keep character. Loser may switch.,"If Kumi's 214C handcuff glitch occurs, the Kumi player must immediately neutral jump j.C to end the glitch. Continue the match as normal. Using any other moves will result in a game loss.","3/5 Games for Losers Finals, 3/5 Games for Winners Finals, 3/5 Games for Grand Finals",0,Sat. 1/25,Sat,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xvii/event/asuka-120-limitover-burning-fest/overview,3,13,2 Hours,,"rec6v4Xftse3UjPWc, reczvke8IANrv60Kr",2nd Lineup,recffoXvB1EZv56rm,"Fri. 1/24, Sun. 1/26",recZnbYCifFZI318x,4,True,,True,True,5,https://v5.airtableusercontent.com/v3/u/37/37/1736683200000/phoZblhWanLxWrjWBY8-cA/iU2WLmHhEQGxq2gY3WyKJKPmM7AqmQ_vlF1NdUbnovax1RjcYsi_dzuSRwfLiCC_hYLZPepUImL9oTbbxOTo4WXDJyvBrcpcqyUApf3WleqLrP4boZi-6PLRslaKm4W25wCJf69qBM2wAgXvAkTLO_Ig_8XVABCyGy4jLNZNCAo/8pjZo-Vt8GD50zoTo2HeY75WyAPF6iRYSYRhSrbGAZ8,ASUKA,MiSTer,ASUKA - (MiSTer),,Narr,ASUKA%20-%20%28MiSTer%29,2024-09-24T02:41:33.000Z,Asuka 120%,41%,2,2025-01-09T21:31:55.000Z,recgQGPoCQ9F5qCLA,gunstargum#916597,https://matcherino.com/tournaments/132264/admin/general,@gunstargum,0,,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xvii/event/asuka-120-limitover-burning-fest/overview,https://vortexgallery.moe/info#ASUKA,0,0,0,3,0.75,14ede121,3,3 Hours,2025-01-25T17:00:00.000Z,2025-01-25,trainerhilda,Asuka 120% LimitOver Burning Fest.,13 / 32,Asuka 120,https://v5.airtableusercontent.com/v3/u/37/37/1736683200000/8Wpk7edTJy5Amb7bUzmMRw/l0odKZ9g4i5u9rm9a58AIB8mRi1FITDwswv8wShp4mL_dGeUJooYa-9yHKFfMDsIM3VNlQB4qpEXght9HtQXvJuFrPU7cRqL7xVT1PSPSbgyg7BUK7HhYzkCaXASufWU-cHweZxu26CQWetzhHCeQpdQw3_VrP1gRKhQRg-55cI/85UwFpG6vInTPGbyKrByMw9-RSJ4_zxlfbACnUoGkY4,https://matcherino.com/tournaments/132264,"rec2cl3CtHAJJqK8G, rec52zE2GhXludkKA",2025-01-25T19:00:00.000Z,True,"recTAveAiCQRuqGQb, recamFV3Nu8kES0ph",For Torami only: Handy 4.,A player must press the Reset button in front of the setup after the completion of their set.,True,True,"reciLeeeTdwHRdMMc, recHY3exIUohQvkSa",11:00am,"Kitaeo,TacoWaffle","Skytanks,thorntheletter",,,,,,,,,,,,
rec6MZQi5YlpuaA9u,None,50/25/15/10,https://matcherino.com/tournaments/132265,,recXEpZXDri1T4Lrq,Double Elimination,N/A,3/5,Winner must keep character. Loser may switch.,,3/5 Games for Top 8,0,Sat. 1/25,Sat,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xvii/event/blazblue-cross-tag-battle/overview,4,44,6 Hours,,"recgT5GtwTa3C47AN, recaJSjdOiQz9LUlD",1st Lineup,reczzQn8AgMeLPv83,Fri. 1/24,reciyfoz0mSwIVndy,4,True,recGkwGiogIPMG9u1,True,True,10,https://v5.airtableusercontent.com/v3/u/37/37/1736683200000/qfhjyApiW3Ua-BQYrLme1g/ZS8zUZpAwQExphmuwwoyLFUaZgghd5Oy0LvQXSaM_cuD4o_x2B6Ds2PwMlqTwgmTfhbUlGX9Ge442iFx8GOmwg6souFCIn9eHvEVCI9wBtH3KZSEyUHwKvYoz1-4HNuggiti_NX0yK3NjTrvFuziMIR-FgrzPSn89Pv-XwTeclI/7oJZeghktE9tDyRBglL64ZGACczc7qUNOsHMEkiNvyo,BBTAG,PS4,BBTAG - (PS4),,GTek,BBTAG%20-%20%28PS4%29,2024-06-16T13:13:46.000Z,BBTAG,∞,2,2025-01-11T07:31:23.000Z,recYdbHI325YI2pVO,GTekFGC#886215,https://matcherino.com/tournaments/132265/admin/general,@gtekfgc,0,,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xvii/event/blazblue-cross-tag-battle/overview,https://vortexgallery.moe/info#BBTAG,0,0,0,4,1,40120ab9,3,3 Hours,2025-01-25T18:00:00.000Z,2025-01-25,gtekfgc,Blazblue Cross Tag Battle,44 / ∞,BBTAG,https://v5.airtableusercontent.com/v3/u/37/37/1736683200000/h82OHEFmE_0KZozx3sZdNA/cSb89l7vxq_Q5g234Yh78T9zKyQpTW237zVDAKS8KsJ06AjZ0WPk60-wNs_a1p5ZsfjiC0GUn7Cz0uGljUnqM1j-hD69IKScwFlTVt0CuzoYaFdRFNLX_UmC_tT0BmYPAQ2i-my3h71TgoP9WirXsuxH0ZInQgVWg7Nhtazez14/Nh-EgwtDVPYz1S_n_RLghA65BxXGAc5r8fIj3iesbA8,https://matcherino.com/tournaments/132265,"recpi90FwmVOTqq76, recK2r56iUKQk8XYg",2025-01-25T20:00:00.000Z,,"recza1rE3rw15xjWz, rectsMVf5qNnorwgI",,,,,"rec7OjxWccnNtkztm, rectsMVf5qNnorwgI",12pm,"FourSwordKirby,Midorii","NuclearTaco,Midorii",Thurs. 1/23,True,True,True,,,,,,,,
recfDZJeNuQTsBbZz,64,50/30/20,https://matcherino.com/tournaments/132268,,recNX1nXtShebd4ql,Double Elimination,2/3,2/3,Winner must keep character. Loser may switch.,,"2/3 Games for Losers Finals, 2/3 Games for Winners Finals, 2/3 Games for Grand Finals",0,Sat. 1/25,Sat,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xvii/event/capcom-vs-snk-2/overview,,37,4 Hours,"recTcB431bdJykBgo, recwoVI7LUWeLzTRT","reckGYnJdAmOxjakQ, recldothQC8DfmhD1, recBaM3rD6LovCe7Z",1st Lineup,recJKINZrMNqXpDOX,"Fri. 1/24, Sun. 1/26",recADkaSQFChcGLCc,,True,,True,True,5,https://v5.airtableusercontent.com/v3/u/37/37/1736683200000/kJYoXpMZnUu1CH222BZdWg/BMFxdqiSqu5BwcVbZoqnsLV5plJ1bEv-Cv1qeHbdkGgQiTNcgCFzefOBALlTXpIHt_TbjWzLMUMWJ0kG28lyXmwup7FmQPMD-8E6vaJ24BlSoN9PB_2_eUvydDOQSZWvafpYynoqkdFusYs8rrKS__M2IIre6UTnVUOkVCC_l9Y/xZXrttn46JbaATAHUsczAbKJaxb2H4lUwefVzpZkHiI,CVS2,DC,CVS2 - (DC),,Onikage,CVS2%20-%20%28DC%29,2024-09-24T02:54:43.000Z,CVS2,58%,0,2025-01-11T18:47:55.000Z,recSrcUjDK3MiUc7s,onikageSRK#735229,https://matcherino.com/tournaments/132268/admin/general,@onikageSRK,0,,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xvii/event/capcom-vs-snk-2/overview,https://vortexgallery.moe/info#CVS2,0,0,0,3,None,86b0149d,6,6 Hours,2025-01-25T18:00:00.000Z,2025-01-25,.onikage,Capcom vs. SNK 2,37 / 64,CvS2,https://v5.airtableusercontent.com/v3/u/37/37/1736683200000/KB0_qJETqT87MEqwRmbejQ/Cg4LgQB4NOMEm3nB-WPgHlYsOzy2Yw05Hw9PcyDSMEeONeZlu2nNtM_ZeihVcPOqLFy5GBH0P3x3R8ZKTsq_5cpfrKnBqXovEedl6aokK-WjfB-JtxbTkWOf2119bJ6CSFXpbFqDMWP-S9bROUAcs56gWB08kIWGQDfB9cXC58M/GGb_PQ3fIPiijNHIWnkdxEzpsCoswamaYW__ll7jWiY,https://matcherino.com/tournaments/132268,"recpi90FwmVOTqq76, recyJoxMh6F3fbLub, recRwjGzOsiE66qpm",2025-01-25T22:00:00.000Z,,,,,,,,4pm,,,Thurs. 1/23,True,,,,,,,,,,
recRs1YQOIERBQBhs,32,60/30/10,https://matcherino.com/tournaments/132281,,recDUx8UJ4apHejsx,Double Elimination,2/3,2/3,Winner must keep character. Loser may switch.,,"3/5 Games for Losers Finals, 3/5 Games for Winners Finals, 3/5 Games for Grand Finals",0,Fri. 1/24,Fri,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xvii/event/chaos-code-new-sign-of-catastrophe/overview,2,21,,,"rec0rpTkHao8s13mG, rechmzRxwByntzdQ8",1st Lineup,reczzQn8AgMeLPv83,"Fri. 1/24, Sun. 1/26",reccnvBNzMJLBy4aM,2,True,,True,True,1,https://v5.airtableusercontent.com/v3/u/37/37/1736683200000/XuBjvgSgnj-OeSWUzIudnA/z0YHO0E4gvrECwlScqGtG7_e5fi-H0RiveE2dI-i5LVawIcoTmlpCBk_OgsV3WRQYrgTU1hdbJ-AAQxseVDJ6aeH0H_lOl3hFeh9pWLhviy18vzCVsOxIrxN4ZhiW-gO4KZ8Hp6LPmzXNbG_CWrnjPKVzpbe-T7OQ9BUx65SKrI/e74CjECGDoHiuNMet5bZhtXCjxVzdi2y5xXl1YMC2bc,CCNSOC,PS4,CCNSOC - (PS4),,Crimefighter,CCNSOC%20-%20%28PS4%29,2024-09-24T02:43:01.000Z,Chaos Code,66%,0,2025-01-08T02:11:43.000Z,recJPtNMrXgQ78wm9,Crimefighter#489199,https://matcherino.com/tournaments/132281/admin/general,@A_Crimefighter,0,,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xvii/event/chaos-code-new-sign-of-catastrophe/overview,https://vortexgallery.moe/info#CCNSOC,0,0,0,3,1,dc289a78,3,3 Hours,2025-01-24T19:00:00.000Z,2025-01-24,A_Crimefighter,Chaos Code: New Sign of Catastrophe,21 / 32,Chaos Code,https://v5.airtableusercontent.com/v3/u/37/37/1736683200000/FWQSVyKuEvyxUA-X7wRMog/_G7dvZ35gS3Z_cxePoy63sVkfx6cYLKcm4175I2TVIB9WjWS4xawHKW5MNK3xHs5JJOoOuVNH1-rZwt5pRflesiLiBxWwI8GqEEUlLi-WSsRyTvvjlc2yDPQDG5Gv-apmJkyVUp11M9_7rcKinjYKg/QdnNHk1Li_qhItY3XjHSuHvZ9-5AU_o110du5MS5DcQ,https://matcherino.com/tournaments/132281,"recKg1DjtX75e56xV, rech1bUzL5MBSNXDB",2025-01-24T21:00:00.000Z,,recsj0Bo7neCk0Zti,"Default game settings, sidebars on, boss mode banned, chaos mode banned.","all stages are legal but if there's disagreement on which stage to pick lupinus stage (military base) is the community default. If a player requests blind pick characters will be chosen, then revealed, then extra moves will be chosen. Winner must keep their character, but can change extra moves, loser can switch characters as well as extra moves.",,,,,,BunniesFromHell,,True,,,From Crimefighter,50,,,,,,
,32 Teams,60/25/15,,,recps4dlLPfXB25wd,Double Elimination,,,,,,0,,Sun,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xvii/event/chicago-s-famous-mystery-tournament-2v2-teams,,57,,rec6GkywQLnYkWQAM,"recfdhn25EGIREXxV, rec16wxRmEy5k9D7G",Confirmed,recTwGP5NQAVPxQAS,,,,True,,True,,10,,MYST-2s,MYST,MYST-2s - (MYST),,,MYST-2s%20-%20%28MYST%29,2024-12-22T09:02:07.000Z,Mystery Tournament,178%,0,2025-01-12T06:35:39.000Z,recpzo1mIFDj8r8J6,,/admin/general,,0,,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xvii/event/chicago-s-famous-mystery-tournament-2v2-teams,https://vortexgallery.moe/info#MYST-2s,0,0,0,3,None,,1,1 Hours,,,,Chicago's Mystery Tournament: 2v2 Teams,57 / 32 Teams,Mystery 2v2,https://v5.airtableusercontent.com/v3/u/37/37/1736683200000/XjPm4ZPuWczgv9FK4d5onQ/Z8kYim_ucUMVjPsIIie0tcKbsPrS4tIXtnEezEdjlVLi3Slxa_tiFk14blLip2lGJJfk5WGliElwAL1Fs0r01KamnV1OdEcJjAmIGVlBP463yUmR6gm9l1Celcd0OJ-V9YVl76J8E893pC6n5d188xhfZGbON9mhd9_l5z21HrTBK45TIpyQJUFL2JGZ6q-K/SumS5SKjok-KKQ_2p8-gxiMM-uPDXicd3Vw2afxJYuI,,recuIG3Ra0mPgmAIC,2025-01-26T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
recfzfVyaehScEnHF,32,60/30/10,https://matcherino.com/tournaments/132267,,recl0isg36v8Zx6GK,Double Elimination,2/3,2/3,Winner must keep character. Loser may switch.,,"3/5 Games for Losers Finals, 3/5 Games for Winners Finals, 3/5 Games for Grand Finals",0,Sat. 1/25,Sat,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xvii/event/cyberbots-fullmetal-madness/overview,2,10,2 Hours,,"recEBKwSBrp1B6yK1, rech4rOOytXU2j5bV",2nd Lineup,recffoXvB1EZv56rm,"Fri. 1/24, Sun. 1/26",recvYEB2SPd9w49oz,4,True,,True,True,5,https://v5.airtableusercontent.com/v3/u/37/37/1736683200000/54jMGzfg-iTC9MfP5BNzRg/HfdUT9u63k0aa52DjgIM00nGFPjO24trgROQmwlhMuqnPwlM0eUrgqfmAmtBTTqd9lWB1xKoV11_7TvHi6X_bcUh536rwUYZqLZRFgUL_OgLZEIew4bd9CaMDfFejZhcqRN_oZfVUS5W8GkiYiVWfDaeQ3JD3x9yGT6KJIwRQtU/1R9kT6t7-LI-Ri2p99QwF1PMtSvU6ddxI_VDDCcIZO0,CBOTS,MiSTer,CBOTS - (MiSTer),,PolarBair,CBOTS%20-%20%28MiSTer%29,2024-09-24T02:42:57.000Z,Cyberbots,31%,2,2025-01-08T02:11:44.000Z,recY9oKWXSGvG06bL,PolarBair#731171,https://matcherino.com/tournaments/132267/admin/general,@PolarBair_ON,0,,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xvii/event/cyberbots-fullmetal-madness/overview,https://vortexgallery.moe/info#CBOTS,0,0,0,3,0.5,a88e8515,3,3 Hours,2025-01-25T16:00:00.000Z,2025-01-25,polarbair_8,Cyberbots: Fullmetal Madness,10 / 32,Cyberbots,https://v5.airtableusercontent.com/v3/u/37/37/1736683200000/Hi71VLIJ1x0JHr36j-LdfA/TxPc23qp6oP10FuTws8p-TgcuQ2LhgQ4shEm17AznTgfgwrNi06Gf1aRlyjO5GOcGO8LN_r7Rr32QAwyN7vJWxxHVUhy7f3If7NpvExehqAMBmcrLJfHoV2TPxHhKsbiEBp4L1fDsPXBV-jqZ6XOUQ/-7e6usVzIG4Xdj6uJhkHBOfBa-l41XlZfBq3jAJC7jM,https://matcherino.com/tournaments/132267,"recwEp35IkBszS63z, recXpjJhLK0MUpew6",2025-01-25T18:00:00.000Z,True,,,Warlock is banned. All other characters are legal.,True,True,"recm91zZZ8U9uXxss, recfzfVyaehScEnHF",10 AM,"Aaron Curry,PolarBair",,Thurs. 1/23,,,,,,"recNB9mbnIyyO0DxA, reci5CtuQL7cRzWmm",,,,,
recBSWpWk11qGRIkK,32,60/30/10,https://matcherino.com/tournaments/132270,,recribsTPMsOkIV4p,Double Elimination,3/5,2/3,Winner must keep character. Loser may switch.,,"3/5 Games for Winners Finals, 3/5 Games for Losers Finals, 3/5 Games for Grand Finals",0,Sat. 1/25,Sat,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xvii/event/dead-or-alive-6/overview,1,11,2 Hours,"recM6WhBJrRw5eb17, recbjEhuzBHkNN8Wz, recg5erjg3p7dr5iD, recyfCS0XcOM7gsjW","rec5LOIPyB0qvpSEu, recxirRH1NqrA1AMi",2nd Lineup,reczzQn8AgMeLPv83,Fri. 1/24,recIW2PqfFjQEOs0B,3,True,,True,True,10,https://v5.airtableusercontent.com/v3/u/37/37/1736683200000/rOUgZqKbth6GQDcwYNB2Wg/Wy5S9lSBmr2JExvpzk8FtgI42leyhqOm99d3MQ5t36sc8ovGvNxv1IA4XWa1XfFnpu38jhr6ioqCRMSN0nCjPXWpQ9AJ30JM3KLN6VjsAXTMCzRbiYkNCF_ERnCewi37N38eJpoQoN9AR7_pXG_Rju7-GdOjNeRf27wt8DvLkHk/jMwuO5QKpsg2j0uO5xsT9xBDUw5x08Hn6gUyFcrFGTU,DOA6,PS4,DOA6 - (PS4),,H0oDLeSs,DOA6%20-%20%28PS4%29,2024-10-25T07:24:08.000Z,Dead Or Alive 6,34%,0,2025-01-09T21:14:46.000Z,rectXRmiQzzgML7Wd,ihoodless#715126,https://matcherino.com/tournaments/132270/admin/general,ihoodless,0,,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xvii/event/dead-or-alive-6/overview,https://vortexgallery.moe/info#DOA6,0,0,0,3,0.3333333333333333,83daa16f,3,3 Hours,2025-01-25T20:00:00.000Z,2025-01-25,h0odless,Dead Or Alive 6,11 / 32,DOA6,https://v5.airtableusercontent.com/v3/u/37/37/1736683200000/RBpv7R2bUTJ58u9feAPQZQ/nl460xp4sHvy4pR9ZJWDYJiXszp-tmhAjJ5HgyPjsUUhlDwUlOHizTJH3WMOyWvnVGWkFelZBsWai6XvDBnTbgTxN01UBD_LwMYQrH65yZCBvMEuOfOQqNafrSYNvyihI7lCTEDY-FVRkDbzU7c1Ww9wt4q5K6v65Hbl6jZnCnU/eyzALMDH4Bw7NABmhXKVixllcOAfvGwlUVfRGh1YCVQ,https://matcherino.com/tournaments/132270,"recRwjGzOsiE66qpm, recFBTg42sYyFcoYo",2025-01-25T23:00:00.000Z,True,,"GAME RULES
⭐Random stage selection (please remove BOTH forbidden fortune stages from your randomized list)

⭐All characters allowed!

⭐First to win 2 matches until we get to Winners Final, Losers Final & Grand Final, where it will be First to 3.

MATCH SETTINGS
⭐Rounds: 3

⭐Timer: 60 seconds

⭐Health: Normal",,,,,2pm,,,"Thurs. 1/23, Sun. 1/26",,,,I will know closer to the event. ,,,"Discord: h0odless
Twitter: @ihoodless

If anyone need more info plz contact me.",,,,
