Tournament,Staff-Lead TOs,Info-Cap,$-Pot Split,Game,Abbr-Game,Pools-Bracket Type,Pools-Rounds per Game,Pools-Games per Set,Rules-Chara Change,Finals-Games per Set,Img-Game Logo,Game Name,Rollup-Lead TOs,Tournaments (Encoded),$-Total Match,Time-Start Day,Smash URL,Date Added,Discord Role,Info-Current Entrants,Time-Est. Run Time,Info-% of Cap,Info-Entrants/Cap,# of Commentators,Short Name,Status,Data-Platform,Date Modified,Data-Game Record ID,Staff-Lead TO Match ID,Twitter-Lead TO,# Done,📺 Finals Stream,📋 Brackets,💰 Matcherino,🌐 Info,$-Match Paid Out,$-Winners Info,$-Top 8 Info Collected,$-# of Payouts,Setups-%,Staff-Lead TO Smash ID,Time-Run Time #,Time-Run Time,Staff-Lead TO Discord ID,Data-Platform Short Name,Staff-Streamers,Twitter-Streamers,Time-Desired Time,Time-Desired Timezone,Rollup-Streamers,Format-Rollup,Time-Start Pools String,Stream-Pools,Stream-Finals,Stream-Pools URL,📺 Pools Stream,Stream-Finals URL,Smash ID,$-Winners Info Collected #,$-Pot Paid Out,Regions,Matcherino Reqd,Region Abbr. (from Regions),Abbr-Region,In smash,Logo gDrive (from Game),Region Includes,Rules-Game Settings,Rules-Glitches,Info-Software Needed,Stream Links,Rules-Notes,$-Prizes,$-Pot Bonus Info,Info-Comments,$-Pot Bonus Amount,$-Pot Split Further
2XKO (Crossplay) - NA,recAjsoVDfDxlMjwb,128,TBD,recS8raiaUkqnvn0l,2XKO,Double Elimination,2/3,2/3,Winner must keep character. Loser may switch.,"3/5 Games for Losers Finals, 3/5 Games for Winners Finals, 3/5 Games for Grand Finals",https://v5.airtableusercontent.com/v3/u/44/44/1755000000000/U2Dn3OTKKo7dtpSoR0EpiA/Q9r11Ca7wcr1AzBS_NtN2Gh4tidpp4w3yNIxxTWJcoU3MfbwcLOpH8GIKHHesEyDqi9QdlUDsJTdevy0A08Jn9w3A50l74mcByHQjqqKCUJmCjuHIbagfTomJv47BfkJpyPiq_KBk6SsERSRB5Ll2l2DM8T2lkNCns3cB72JEyc/jZBW_2WgYdKgLKLTk7BNnmMedpk0Vx14LbGeT_WjgWk,2XKO ,Aaron Curry,2XKO%20%28Crossplay%29%20-%20NA,0,9/13 Sat,https://www.start.gg/tournament/vortex-gallery-online-2025/event/2xko-na/overview,2025-07-31T08:01:18.000Z,2XKO,3,4 Hours,2%,3 / 128,0,2XKO,Confirmed,recziemqtoaMc1PA9,2025-08-12T01:40:57.000Z,recElIRk3YoNcRn24,Curry#841598,AaronCurry_,0,None,https://www.start.gg/tournament/vortex-gallery-online-2025/event/2xko-na/overview,,https://vortexgallery.moe/info#2XKO,0,0,0,4,None,b09af56b,0,0 Hours,aaroncurry,Crossplay,recG8UlbGpoWSqZkN,Twitter.com/gtekfgc,2PM,PST,GTek,,None,,,,None,,,0,0,recEporlRbu93it1q,Yes,NA,NA,,,,,,,,,,,,,
ABKAA (Flycast) - NA,recfthYWrd5KdTAhg,128,,recxzTvxs5shbV0AF,ABKAA,,,,,,https://v5.airtableusercontent.com/v3/u/44/44/1755000000000/VAcne-KnYhlINUOz-cN4jg/QD7XVIsNj3tk7ti2-Q336XQ9g4VuRq5j4I7glXJ9HlOZ8wOJBLJX427MI7mgOa_n-t9S5C1Tez2JV24akmIlMVvLyPm5dEUxXc57ZpQl6JDjICOUnXuD-x__dSh0Uq15gn4QkPjr6ae7ZyHF94LmR1XXjVfjGKkA0MfQN_Ow4ndoupHabBcxV3o2w9J9PYzh/FShtcVyjIfjeUxxNIhv2OvBiC9mlMN1vgYAH2VZtVKU,Akatsuki Blitzkampf Ausf. Achse ,Stew,ABKAA%20%28Flycast%29%20-%20NA,0,9/13 Sat,https://www.start.gg/tournament/vortex-gallery-online-2025/event/akatsuki-blitzkampf-ausf-achse-na,2025-07-02T02:41:19.000Z,Akatsuki Blitzkampf,6,,5%,6 / 128,0,ABK,Confirmed,recD8jYnPXVaG6YLX,2025-08-07T02:53:26.000Z,recoqQNwa1k9jJyDq,SSBStew#1119597,ssbstew,0,None,https://www.start.gg/tournament/vortex-gallery-online-2025/event/akatsuki-blitzkampf-ausf-achse-na,,https://vortexgallery.moe/info#ABKAA,0,0,0,1,None,9185ac54,0,0 Hours,ssbstew,Flycast,recLoWOjMBW8UTWOv,@Mibeador,5 PM,PT,Mibeador,,None,,,,None,,,0,0,recEporlRbu93it1q,Yes,NA,NA,True,https://drive.google.com/uc?id=1AG77jbWU0WB1J-JhEJB_XUY42nJCA1vN,"USA, Mexico, Canada",,,,,,,,,,
ABKAA (Flycast) - ALL,,32,,recxzTvxs5shbV0AF,ABKAA,,,,,,https://v5.airtableusercontent.com/v3/u/44/44/1755000000000/VAcne-KnYhlINUOz-cN4jg/QD7XVIsNj3tk7ti2-Q336XQ9g4VuRq5j4I7glXJ9HlOZ8wOJBLJX427MI7mgOa_n-t9S5C1Tez2JV24akmIlMVvLyPm5dEUxXc57ZpQl6JDjICOUnXuD-x__dSh0Uq15gn4QkPjr6ae7ZyHF94LmR1XXjVfjGKkA0MfQN_Ow4ndoupHabBcxV3o2w9J9PYzh/FShtcVyjIfjeUxxNIhv2OvBiC9mlMN1vgYAH2VZtVKU,Akatsuki Blitzkampf Ausf. Achse ,,ABKAA%20%28Flycast%29%20-%20ALL,0,9/6 Sat,https://www.start.gg/tournament/vortex-gallery-online-2025/event/akatsuki-blitzkampf-ausf-achse-global,2025-07-02T02:41:53.000Z,Akatsuki Blitzkampf,6,,19%,6 / 32,0,ABK,Confirmed,recD8jYnPXVaG6YLX,2025-08-09T14:12:10.000Z,recoqQNwa1k9jJyDq,,,0,None,https://www.start.gg/tournament/vortex-gallery-online-2025/event/akatsuki-blitzkampf-ausf-achse-global,,https://vortexgallery.moe/info#ABKAA,0,0,0,1,None,,0,0 Hours,,Flycast,,,7 PM,BRT,,,None,,,,None,,,0,0,rec11xnNbXFYlBovE,Yes,ALL,ALL,True,https://drive.google.com/uc?id=1AG77jbWU0WB1J-JhEJB_XUY42nJCA1vN,,,,,,,,,,,
ASUKA (PC) - ALL,rec4qzWO4l7o6qdcQ,32,60/30/10,rec2gibJed9LV3VAv,ASUKA,Double Elimination,2/3,2/3,Winner must keep character. Loser may switch.,"3/5 Games for Losers Finals, 3/5 Games for Winners Finals, 3/5 Games for Grand Finals",https://v5.airtableusercontent.com/v3/u/44/44/1755000000000/poosX6Hp-8S7jJ9HaTJQHw/0Lua0V_PdgsvWKTI-IV-v98nQsDctpa3ptFUYslpTi-JkblPzBLLPw41O8WIj1ayhydFlR_MsMYIRhA39aNEMap_0AIiL0Bir1-tX9NLWnKScCNCYqPj1PQeif2HKUFarlEmdK0_RekuGvqxvRSgqGj-aEunmyW46J23EbG1qFI/THTXlrM0doS-ECUQm6pJY8odKqJmMgL7o_9_qMy3_uw,Asuka 120% LimitOver Burning Fest. ,SonofTzeentch9,ASUKA%20%28PC%29%20-%20ALL,0,9/7 Sun,https://www.start.gg/tournament/vortex-gallery-online-2025/event/asuka-120-limitover-burning-fest-global,2025-07-02T02:41:41.000Z,Asuka 120%,10,2 Hours,31%,10 / 32,0,Asuka 120,Confirmed,rec24jBOfifk8YfOs,2025-08-07T02:53:26.000Z,recgQGPoCQ9F5qCLA,Manolito_Gallegos#904066,@SonofTzeentch9,0,None,https://www.start.gg/tournament/vortex-gallery-online-2025/event/asuka-120-limitover-burning-fest-global,,https://vortexgallery.moe/info#ASUKA,0,0,0,3,None,a9d00a88,0,0 Hours,sonoftzeentch9,PC,recxTrXSfvsGf9FlR,@TheSailorVick,7 PM ,CET,SailorVick,,None,,,,None,,,0,0,rec11xnNbXFYlBovE,Yes,ALL,ALL,True,https://drive.google.com/uc?id=1_z5CaLFt308gk4vceWsr34srFXXBnCvs,,"- all setup by default.
- Torami is played Handy 4.
- Ground Infinite are allowed.

More details: https://wiki.gbl.gg/w/Asuka_120_LimitOver/Tournament_Rules","Glitches & Infinite:
- Kumi's 214C glitch isn't banned but you HAVE to jump > jC immediately.
- All Ground Infinites are allowed, have fun.

More details: https://wiki.gbl.gg/w/Asuka_120_LimitOver/Tournament_Rules","You need to setup RetroArch beforehand otherwise you'll be put in loser side, then DQ is still not solved.",,,,,,,
ABEW (FC2) - ALL,rec47HnWqnEyoPQnj,64,50/30/20,recSEHVe3m8acSp6I,ABEW,Double Elimination,2/3,2/3,Winner must keep character. Loser may switch.,"3/5 Games for Losers Finals, 3/5 Games for Winners Finals, 3/5 Games for Grand Finals",https://v5.airtableusercontent.com/v3/u/44/44/1755000000000/_y9kSfc8QwMhpjJHgJDhhA/sIB_8utsfZqhRQf68IdLoLT4cd8kgcIvitmppP_aF8Ay5VmTL4ClE4zkZ2AFywucCagc5Os7ZBFpDX_jGnsA2tnKH9-cV89RIRad1aPJejYmY2an8KCoM4dWQ8OQVY5hfYJdP6ZsbSNAbS1AZu2N5cngKNdta1uIGpeNGBgR5qhx0_FPsyETloxAmHhhWlSU/SC6DxaYBU167eF2x9tgMvyLmXDIuNNwhvcVBeuGxviY,Asura Buster: Eternal Warriors ,melody?,ABEW%20%28FC2%29%20-%20ALL,0,9/13 Sat,https://www.start.gg/tournament/vortex-gallery-online-2025/event/asura-buster-eternal-warriors-na,2025-07-28T02:15:24.000Z,Asura Buster,1,3 Hours,2%,1 / 64,0,Asura Buster,Confirmed,recuzzlHMMI2BlhKy,2025-08-07T02:53:26.000Z,recWaPp6B3gGDDrhP,melody?#920077,twitter.com/NightlyMelodies,0,None,https://www.start.gg/tournament/vortex-gallery-online-2025/event/asura-buster-eternal-warriors-na,,https://vortexgallery.moe/info#ABEW,0,0,0,3,None,b4ee975c,0,0 Hours,trans.wrongs,FC2,recnV75hOTcOovLQT,twitter.com/ViviMayoi,4pm,,ViviMayoi,,None,,,,None,,,0,0,rec11xnNbXFYlBovE,Yes,ALL,ALL,,https://drive.google.com/uc?id=1aCs0ayreEV6D0HtGZ3pCgtF-YC0iR2-W,,,,,twitch.tv/ViviMayoi,,,,,,
BBCF (PC) - NA,recDXa50iczn8DrOp,256,,recOR0cafWyvy79u7,BBCF,,,,,,https://v5.airtableusercontent.com/v3/u/44/44/1755000000000/viFtQH1EVPI_MHmJy_geAQ/cyZ-vsw8Omfya5Up_YRLkXivX6KkZ7xLIhay3qOC4BtabGb3T_ODyy5DoMB4D8VvsBsv4VA-3cxALIkmh1Zo_M43mOidD84Mw_8bUlQtz8vFWrk_3LpBHRSVbspUUtR24RIkN_2V58pw1mJy9As9I51nhJQN3Hi2aeX7IwTjENM/cBs8pk5rcllnfs-wQ6i1pzSe7HSKauPLy6YM-v_wz8Q,Blazblue Centralfiction ,Shiburizu,BBCF%20%28PC%29%20-%20NA,0,9/13 Sat,https://www.start.gg/tournament/vortex-gallery-online-2025/event/blazblue-central-fiction-na,2025-07-02T02:41:50.000Z,BBCF,4,,2%,4 / 256,0,Blazblue,Confirmed,rec24jBOfifk8YfOs,2025-08-08T05:23:02.000Z,reciPBu4tcSpo2Hq7,Shiburizu#737139,@shiburizu,0,None,https://www.start.gg/tournament/vortex-gallery-online-2025/event/blazblue-central-fiction-na,,https://vortexgallery.moe/info#BBCF,0,0,0,1,None,f86fc470,0,0 Hours,shiburizu#7634,PC,recyKBgHWbCFdznDe,@chickzama,4 PM,PT,Chickzama,,None,,,,None,,,0,0,recEporlRbu93it1q,Yes,NA,NA,True,https://drive.google.com/uc?id=1rNnWD06DveHBoE-L31Ne6gdPudC0CCNc,,,,,,,,,,,
BBCF (PC) - OCE,recFo36zQL6UFn3zf,32,50/30/20,recOR0cafWyvy79u7,BBCF,Double Elimination,2/3,2/3,Winner must keep character. Loser may switch.,"3/5 Games for Losers Finals, 3/5 Games for Winners Finals, 3/5 Games for Grand Finals",https://v5.airtableusercontent.com/v3/u/44/44/1755000000000/viFtQH1EVPI_MHmJy_geAQ/cyZ-vsw8Omfya5Up_YRLkXivX6KkZ7xLIhay3qOC4BtabGb3T_ODyy5DoMB4D8VvsBsv4VA-3cxALIkmh1Zo_M43mOidD84Mw_8bUlQtz8vFWrk_3LpBHRSVbspUUtR24RIkN_2V58pw1mJy9As9I51nhJQN3Hi2aeX7IwTjENM/cBs8pk5rcllnfs-wQ6i1pzSe7HSKauPLy6YM-v_wz8Q,Blazblue Centralfiction ,TheLagWizard,BBCF%20%28PC%29%20-%20OCE,0,8/31 Sun,https://www.start.gg/tournament/vortex-gallery-online-2025/event/blazblue-central-fiction-oce,2025-07-12T01:20:39.000Z,BBCF,1,2 Hours,3%,1 / 32,0,Blazblue,Confirmed,rec24jBOfifk8YfOs,2025-08-07T23:18:22.000Z,reciPBu4tcSpo2Hq7,LagWizard_A#1055218,None,0,None,https://www.start.gg/tournament/vortex-gallery-online-2025/event/blazblue-central-fiction-oce,,https://vortexgallery.moe/info#BBCF,0,0,0,3,None,78598fa7,0,0 Hours,thelagwizard_2086,PC,recepb3PWcAk9c5vx,https://bsky.app/profile/aifyrin.bsky.social,9 PM,JST,Firery,,None,,,,None,,,0,0,recZao6hOj02EcUOE,Yes,OCE,OCE,,https://drive.google.com/uc?id=1rNnWD06DveHBoE-L31Ne6gdPudC0CCNc,,,,,https://www.twitch.tv/firery,"Please do not use the ""BLUE"" and ""Forbidden Gate"" stages.",,,,,
BBTAG (PS4) - NA,recQ4UxuiqO85iuv2,,TBD,recyyKbi2Kz9VI88P,BBTAG,Double Elimination,N/A,3/5,Winner must keep character. Loser may switch.,3/5 Games for Top 8,https://v5.airtableusercontent.com/v3/u/44/44/1755000000000/RyMWhngyWfLaX03rXnHq_g/L_uAc_Jbbct7LcfasE4mkDFXlcY0RaQlQ5wQJZKqowehjlhsJbYJhPwR_iUTh5pFj5SZOUMruPRXvlrVNDE8tERxVyLoF2U7JgVjwmJtU35q4Owcs0Uya_8zkWmfVYPPAoI9Gdw4s6wfl-JnbY_ZwYQ-TPME6jArQ4aISKLOlS8/QFHJzQeTjxpAkImaPsU9Rsax564ZiImr41O5uYVECoE,Blazblue Cross Tag Battle ,Midorii,BBTAG%20%28PS4%29%20-%20NA,0,9/12 Fri,https://www.start.gg/tournament/vortex-gallery-online-2025/event/blazblue-cross-tag-battle-na,2025-08-04T18:17:37.000Z,BBTAG,9,4 Hours,,9 / ,0,BBTAG,Confirmed,recUwDAXmLOClnqAZ,2025-08-10T06:07:26.000Z,recYdbHI325YI2pVO,Midorii#728049,@Mldorli,0,None,https://www.start.gg/tournament/vortex-gallery-online-2025/event/blazblue-cross-tag-battle-na,,https://vortexgallery.moe/info#BBTAG,0,0,0,4,None,6ea2e0a7,0,0 Hours,Midoriiii,PS4,recG8UlbGpoWSqZkN,Twitter.com/gtekfgc,4PM,PST,GTek,,None,,,,None,,,0,0,recEporlRbu93it1q,,NA,NA,,https://drive.google.com/uc?id=1jwyl1tmiRjnyOCp8kNSXnVQGSYMnx7-2,,,,,,,,,,,
CBOTS (FC2) - ALL,rec7mlADXQ9VduQpU,64,50/30/20,rec74YlLjOt3QYuql,CBOTS,Double Elimination,2/3,2/3,Winner must keep character. Loser may switch.,"3/5 Games for Grand Finals, 3/5 Games for Winners Finals, 3/5 Games for Losers Finals",https://v5.airtableusercontent.com/v3/u/44/44/1755000000000/VDCH7pNjtI_bLcZ7kpIOwQ/K6lC_V45UmA5sM4SzHWv6fuA9zyG_ijsT4O3XCHQVbUTIheCIOMLrDyi5X0eVD-S_FdcuG4HXCBT8EEKy09LJdgLiOQVd9GL4TSNJglQXrN-dJlca5IieUQ7Eu9a6h_aA-5z9Wtq6-FvNRJ2TfOJYw/RCnDpnhK91o1Rrn7XNa63gc2eA0py20EroIkMwaVeGw,Cyberbots: Fullmetal Madness ,dazegambler,CBOTS%20%28FC2%29%20-%20ALL,0,9/14 Sun,https://www.start.gg/tournament/vortex-gallery-online-2025/event/cyberbots-fullmetal-madness-global,2025-07-02T02:42:04.000Z,Cyberbots,8,3 Hours,13%,8 / 64,0,Cyberbots,Confirmed,recuzzlHMMI2BlhKy,2025-08-09T14:12:10.000Z,recY9oKWXSGvG06bL,Dazegambler#1429538,@ArtsDazegambler,0,None,https://www.start.gg/tournament/vortex-gallery-online-2025/event/cyberbots-fullmetal-madness-global,,https://vortexgallery.moe/info#CBOTS,0,0,0,3,None,0ed30b6f,0,0 Hours,Dazegambler,FC2,recgel4HmRUbcoQkZ,@PolarBair_ON,4 PM,PT,PolarBair,,None,,,,None,,,0,0,rec11xnNbXFYlBovE,Yes,ALL,ALL,True,https://drive.google.com/uc?id=1sTtVZUDAoW2-AyTu5sErtNnsmkZlxbxf,,,,,https://www.twitch.tv/polar_bair_8,Warlock is banned.,,,,,
DOE (Steam) - SA/BR,recly8QAyHmqnXfxa,64,N/A,rec6dmjPGpSILqbdN,DOE,Double Elimination,3/5,3/5,Winner must keep character. Loser may switch.,"3/5 Games for Losers Finals, 3/5 Games for Winners Finals, 3/5 Games for Grand Finals",https://v5.airtableusercontent.com/v3/u/44/44/1755000000000/pyHzJIqfvx0E9TFm7DBjpw/SdWs8D6bzDUhhWaQsSRMLJTarUAnaKziXFxMXe1c17rMyiePlbUJRzLEWTyFAtxU0XY4-KsJbbisj7joArScL-3GHTDGG2fnXaWci8mO9xaXLTB5NdFzqwu-DgXALymgizxJPc_1ywJ3M1gTzR49michZs82LHbM6x2UXFktvys/WGnuQ0wMK3Edvy34Yr9u5UjB2lVpUv1G4HS8X_AQipI,Duelists of Eden ,Calexe,DOE%20%28Steam%29%20-%20SA%2FBR,0,9/6 Sat,https://www.start.gg/tournament/vortex-gallery-online-2025/event/duelists-of-eden-sa,2025-07-02T07:59:55.000Z,,2,2 Hours,3%,2 / 64,0,DOE,Confirmed,recIMmOa3K2dhwHzo,2025-08-11T19:06:53.000Z,recbQSo6weeXiPpTL,Calexe#862068,@Calexeee,0,None,https://www.start.gg/tournament/vortex-gallery-online-2025/event/duelists-of-eden-sa,,https://vortexgallery.moe/info#DOE,0,0,0,4,None,ae250f24,0,0 Hours,calexe,Steam,recDvUvF9WzzSaqzQ,@Syokamorii,5 PM,BRT,Syoka,,None,,,,None,,,0,0,rec26HdoLXe0utdnM,No,SA/BR,SA/BR,True,,,"- No ratio applied;
- Only loser can change their deck and character.
",,,"twitch.tv/duelistsbrasil
https://www.youtube.com/@DuelistsofEdenBrasil

both for stream pools and finals",,,,,,
