Game-Phase,Game,Phase,Phase Start (PST),Phase End (PST)
ABK (PC-Fightcade)-Full Tourney,Akatsuki Blitzkampf Ausf. Achse,Full Tourney,8/5/2022 11:00am,8/5/2022 2:00pm
AP (PS3)-Full Tourney,Aquapazza,Full Tourney,8/5/2022 4:00pm,8/5/2022 6:00pm
BBCF (PS4)-Pools,Blazblue Centralfiction,Pools,8/5/2022 2:00pm,8/5/2022 3:30pm
BBCF (PS4)-Pools,Blazblue Centralfiction,Pools,8/5/2022 3:30pm,8/5/2022 5:00pm
BBCF (PS4)-Top 24,Blazblue Centralfiction,Top 24,8/5/2022 5:00pm,8/5/2022 6:30pm
BBCF (PS4)-Top 8,Blazblue Centralfiction,Top 8,8/5/2022 6:30pm,8/5/2022 8:30pm
BBTAG (PS4)-Pools,Blazblue Cross Tag Battle,Pools,8/6/2022 2:00pm,8/6/2022 3:30pm
BBTAG (PS4)-Pools,Blazblue Cross Tag Battle,Pools,8/6/2022 3:30pm,8/6/2022 5:00pm
BBTAG (PS4)-Top 12,Blazblue Cross Tag Battle,Top 12,8/6/2022 5:00pm,8/6/2022 7:00pm
CAFB (PS4)-Full Tourney,Catherine: Full Body,Full Tourney,8/6/2022 12:00pm,8/6/2022 4:00pm
CATH (PC-Steam)-Full Tourney,Catherine Classic,Full Tourney,8/5/2022 12:00pm,8/5/2022 4:00pm
CC (PS4)-Full Tourney,Chaos Code: New Sign of Catastrophe,Full Tourney,8/6/2022 10:00am,8/6/2022 12:00pm
CVS2 (DC)-Pools,Capcom vs. SNK 2,Pools,8/5/2022 2:00pm,8/5/2022 5:00pm
CVS2 (DC)-Top 4,Capcom vs. SNK 2,Top 4,8/6/2022 12:00pm,8/6/2022 2:00pm
DFCI (PS4)-Pools,Dengeki Bunko Fighting Climax Ignition,Pools,8/5/2022 5:00pm,8/5/2022 7:00pm
DFCI (PS4)-Top 8,Dengeki Bunko Fighting Climax Ignition,Top 8,8/5/2022 7:00pm,8/5/2022 9:00pm
