Game-Phase,Game-Short Name,Game-Abbr,Tournament,Game,Regions Abbr,Phase,Start (PST),Start (Local),TZ-Main Timezone,Start Date (Local),Pools Stream,Finals Stream,Pools Username,Finals Username
-,,,,,,,2/10/2023 12:00am,2/10/2023 8:00am,,02/10 Fri,,,,
DNFD - OCE - (PC-Steam)-Full Tourney,DNFD,DNFD,DNFD - OCE - (PC-Steam),DNF Duel,OCE,Full Tourney,2/10/2023 12:00am,2/10/2023 7:00pm,AEDT,02/10 Fri,twitch.tv/Firery,twitch.tv/Firery,Firery,Firery
ROA - EU - (PC-Steam)-Full Tourney,Rivals,ROA,ROA - EU - (PC-Steam),Rivals of Aether,EU,Full Tourney,2/10/2023 12:00pm,2/10/2023 8:00pm,UTC,02/10 Fri,https://twitch.tv/roaeurope,https://twitch.tv/roaeurope,roaeurope,roaeurope
AoS2 - SA/BR - (PC-Steam)-Full Tourney,AoS2,AoS2,AoS2 - SA/BR - (PC-Steam),Acceleration of Suguri 2,SA/BR,Full Tourney,2/10/2023 3:00pm,2/10/2023 8:00pm,BRT,02/10 Fri,https://twitch.tv/jota_sr,https://twitch.tv/jota_sr,jota_sr,jota_sr
GGACPR - SA/SUD - (PC-Steam)-Full Tourney,+R,GGACPR,GGACPR - SA/SUD - (PC-Steam),Guilty Gear XX Accent Core Plus R,SA/SUD,Full Tourney,2/10/2023 3:00pm,2/10/2023 8:00pm,BRT,02/10 Fri,https://twitch.tv/cgiogio,https://twitch.tv/cgiogio,cgiogio,cgiogio
MBTL - SA/BR - (PC-Steam)-Full Tourney,Lumina,MBTL,MBTL - SA/BR - (PC-Steam),Melty Blood: Type Lumina,SA/BR,Full Tourney,2/10/2023 3:00pm,2/10/2023 8:00pm,BRT,02/10 Fri,,,,
JCFF - ALL - (PC-Fightcade)-Full Tourney,Jackie Chan,JCFF,JCFF - ALL - (PC-Fightcade),Jackie Chan in Fists of Fire,ALL,Full Tourney,2/10/2023 4:00pm,2/10/2023 4:00pm,PST,02/10 Fri,,,,
GBVS - NA/WC - (PC-Steam)-Full Tourney,Granblue,GBVS,GBVS - NA/WC - (PC-Steam),Granblue Fantasy Versus,NA/WC,Full Tourney,2/10/2023 5:00pm,2/10/2023 5:00pm,PST,02/10 Fri,https://twitch.tv/gtektv,https://twitch.tv/gtektv,gtektv,gtektv
MM - ALL - (PC-Fightcade)-Full Tourney,MM,MM,MM - ALL - (PC-Fightcade),Matrimelee,ALL,Full Tourney,2/10/2023 5:00pm,2/10/2023 5:00pm,PST,02/10 Fri,https://twitch.tv/nutriafgc,https://twitch.tv/nutriafgc,nutriafgc,nutriafgc
GGACPR - SEA - (PC-Steam)-Full Tourney,+R,GGACPR,GGACPR - SEA - (PC-Steam),Guilty Gear XX Accent Core Plus R,SEA,Full Tourney,2/10/2023 8:00pm,2/11/2023 12:00pm,SGT,02/11 Sat,https://twitch.tv/airdasher_sea,,airdasher_sea,airdasher_sea
MBTL - SEA - (PC-Steam)-Full Tourney,Lumina,MBTL,MBTL - SEA - (PC-Steam),Melty Blood: Type Lumina,SEA,Full Tourney,2/11/2023 3:00am,2/11/2023 7:00pm,SGT,02/11 Sat, https://twitch.tv/gasbux_, https://twitch.tv/gasbux_,gasbux_,gasbux_
PBO - JP - (PS4)-Full Tourney,Phantom Breaker,PBO,PBO - JP - (PS4),Phantom Breaker Omnia,JP,Full Tourney,2/11/2023 5:00am,2/11/2023 10:00pm,JST,02/11 Sat,https://twitch.tv/shinj4y,https://twitch.tv/shinj4y,shinj4y,shinj4y
BBCF - EU - (PC-Steam)-Full Tourney,Blazblue,BBCF,BBCF - EU - (PC-Steam),Blazblue Centralfiction,EU,Full Tourney,2/11/2023 9:00am,2/11/2023 5:00pm,UTC,02/11 Sat,https://twitch.tv/thehealingpotato,https://twitch.tv/thehealingpotato,thehealingpotato,thehealingpotato
UNICLR - NA/EC - (PC-Steam)-Full Tourney,UNI,UNICLR,UNICLR - NA/EC - (PC-Steam),Under Night In-Birth Exe:Late [cl-r],NA/EC,Full Tourney,2/11/2023 9:00am,2/11/2023 12:00pm,EST,02/11 Sat,https://www.twitch.tv/tabbynickel/,https://www.twitch.tv/tabbynickel/,#ERROR!,#ERROR!
GGACPR - EU - (PC-Steam)-Full Tourney,+R,GGACPR,GGACPR - EU - (PC-Steam),Guilty Gear XX Accent Core Plus R,EU,Full Tourney,2/11/2023 10:00am,2/11/2023 6:00pm,UTC,02/11 Sat,https://twitch.tv/dawn_of_revival,https://twitch.tv/dawn_of_revival,dawn_of_revival,dawn_of_revival
MajSoul - ALL - (PC)-Bracket,MajSoul,MajSoul,MajSoul - ALL - (PC),Mahjong Soul,ALL,Bracket,2/11/2023 10:00am,2/11/2023 10:00am,PST,02/11 Sat,,,,
GBVS - EU - (PC-Steam)-Full Tourney,Granblue,GBVS,GBVS - EU - (PC-Steam),Granblue Fantasy Versus,EU,Full Tourney,2/11/2023 11:00am,2/11/2023 7:00pm,UTC,02/11 Sat,https://twitch.tv/monhuncake,https://twitch.tv/monhuncake,monhuncake,monhuncake
LLB - ALL - (PC-Steam)-Full Tourney,LLB,LLB,LLB - ALL - (PC-Steam),Lethal League Blaze,ALL,Full Tourney,2/11/2023 11:00am,2/11/2023 11:00am,PST,02/11 Sat,https://twitch.tv/desselie,https://twitch.tv/desselie,desselie,desselie
MBAACC - SA/BR - (PC-Caster)-Full Tourney,Melty Blood AACC,MBAACC,MBAACC - SA/BR - (PC-Caster),Melty Blood Actress Again Current Code,SA/BR,Full Tourney,2/11/2023 11:00am,2/11/2023 4:00pm,BRT,02/11 Sat,https://twitch.tv/reversebeatbrasil,https://twitch.tv/reversebeatbrasil,reversebeatbrasil,reversebeatbrasil
