Tag,Twitter,Pronouns,Staff Page Blurb,Staff Page Profile Link,Pic URL
8ighty6ix,8ighty6ix,he/him,,,https://dl.airtable.com/.attachments/fa60025d672b45bd8f707b3142e43a87/2ec75bfc/8ighty6ix.png
AALanline,@AALanline,he/him,,,https://dl.airtable.com/.attachments/7f95916fff9d444b731d1dc03e63a9c4/2e7d00b0/PGG_Crew.png
Aaron Stavely,@mane6dev,he/him,,,
adapt,@___adapt___,any,Looking forward to working together with everyone!,,
adct,@adct_ssb,he/him,epic video gamer,,https://dl.airtable.com/.attachments/e2894a4dafbbde0825182426055ec193/724d0d07/cropped.png
Ailerus,@ailerusvmp,he/him,I help run and stream events for Vampire Savior with my friends under the VampireArcadia twitch channel.,https://twitch.tv/vampirearcadia,https://dl.airtable.com/.attachments/0e1b86c8c6375ae9774d50841ad503a1/7b9ddb33/ailerus.jpg
Aligari,,he/him,Event organizer and competitor for SoCal FGC. Always pushing for poverty and trying to build scenes for underrepresented games. See me in +R or Melty.,https://youtu.be/V4YlRovXHMQ,
Amanda,AmandaTNStevens,"she/her, they/them",Amanda is a former FGC content creator turned diversity & inclusion professional. Currently she is the Gaming Ambassador for Trans Lifeline - coordinating their outreach & fundraising efforts in gaming space. She is also an unapologetic grappler player,,
Andrew,on9drew,he/him,play gundam,,https://dl.airtable.com/.attachments/af26a5798d619dc0ecb5c371c901842e/c233aae5/on9drew.png
Aphro Dynamek ,@AphroDynamek ,he/him,"The Crimson Chin... Big Brother Maui (You're welcome)... Vox Populi... the FGC Octavist... the One, the Only, the Voice of KPB... I am Aphro Dynamek! ",,
Aranlyde,@Aranlyde,they/them,,,
Arb,@tyler_c9120,he/him,Yes!,,
Azroix,@Azroix,he/him,Freelance creative. Currently working with Riz0ne/SuperLoreBoys/The Shilluminati.,,https://dl.airtable.com/.attachments/ed7769de6f27355f6ad3c49b4e2aeb53/fc2f2c7f/Azroix_PFP.png
B.Panda,@BURBEARI,they/them,The Fire in Your Heart is Burning,,https://dl.airtable.com/.attachments/5f5198a9ff955c400a3d210d9989c506/8599682b/Beari.png
Baron,@Baron_Of_Wastes,he/him,I really like Nitroplus Blasterz and Aquapazza. ,https://twitter.com/Baron_Of_Wastes,https://dl.airtable.com/.attachments/f4c49c7592b585a639d5105088d8918b/4e5a86e1/baron.png
BBoySonicX,@BBoySonicX,he/him,,,
Bigpapachunk,@bigpapachunk,he/him,"Hi, I play and organize SCVI in the Norther California Bay Area. I also am a teacher and a musician.",,https://dl.airtable.com/.attachments/b5f46358dfdc1af13a68199ab1403019/471c8c76/Bigpapachunk.png
Bishop,@CallMiiBishop,he/him,,,
BjornSonOfBear,@amurderofbears,he/him,Can Shiki kill voidbringers,,
Blackimar64,@Blackimar64,he/him,,,https://dl.airtable.com/.attachments/8b0e8137983728764941f649672db74f/6772ee8c/blackimar64.jpg
Bloo,@Bloo4LYFE,he/him,Hello! My name is Bloo and while I'm also helping with Vortex Gallery I'm also the head writer for AFGCNews. I always willing to help the anime fighting game scene grow higher and higher and want to be there every step of the way.,,
blueminder,@blueminder,"he/him, they/them",,,https://dl.airtable.com/.attachments/3be46b80b9a10f2bbbedb4c04cf2fd37/cd59c80a/blueminder.jpg
Bored-erlands,@boring_lads,he/him,"Fighting game fan, TOing and spreading the word of MAAB. Examu and French Bread deserve better.",,
Brett,@HellaBrett,,,twitch.tv/thebrett,https://dl.airtable.com/.attachments/7576710d2af23357a528b47fb8cee1d9/62aaaff9/staff_brett.jpg
Bulletprccf,,"he/him, ze/hir","♤ TO for the gundam exvs series, including full boost, gundam versus, and maxiboost on: hosts various online charity brackets, lead & creator of the situation is not ideal series, and runs mbon brackets at climax of night & frosty faustings.  ♤  author on archive of our own (Bulletprccf).  ♤  minor voice actor for redmufflerman & checkpoint.  ♤",https://archiveofourown.org/users/Bulletprccf/profile,https://dl.airtable.com/.attachments/8a0ca886b0526e4ce16292694eda9477/8bfc6dba/Bulletprccf_EVO2022.png
Butt69,@kingbutt69,"he/him, they/them","Butt69 is a fighting game player from Louisville, Kentucky known for playing many ""poverty games"" like Ultra Fight Da! Kyanta 2, Fight of Animals, and many others.",https://youtube.com/user/Xsearsgameplayer,https://dl.airtable.com/.attachments/54c3bc2106d82a59f518c6798e28babc/38e8fe2d/Butt69.jpg
casey,@casey2161,they/them,PNW Based UNI player and commentator of locals for games I think are cool. ,,
ChairGTables,@chairgtables,any,Kusoge obsessed lead developer at indie game studio LAME Dimension. Competes and runs tournaments for multiple games at events to take game design notes on funny jank in fighting games and understand the heart of the players. This fake VTuber is currently on a quest to find the legendary ghost of EVO and have a match against him to win burgers and become the ghost of Vortex Gallery.,,https://dl.airtable.com/.attachments/35cc7d047034b4a54d4d6c38beaf5605/3d976c18/chairgtables.png
