Tournament,Staff-Lead TOs,Info-Cap,Game,Abbr-Game,Record ID,Img-Game Logo,Game Name,Rollup-Lead TOs,Tournaments (Encoded),$-Total Match,Smash URL,Date Added,Discord Role,Info-% of Cap,# of Commentators,Short Name,Status,Data-Platform,Date Modified,Data-Game Record ID,Staff-Lead TO Match ID,Twitter-Lead TO,# Done,📺 Finals Stream,📋 Brackets,💰 Matcherino,🌐 Info,$-Match Paid Out,$-Winners Info,$-Top 8 Info Collected,$-# of Payouts,Setups-%,Staff-Lead TO Smash ID,Time-Run Time #,Time-Run Time,Staff-Lead TO Discord ID,Data-Platform Short Name,Announced,Rollup-Streamers,✅-In smash,Info-Entry Fee,Img-Promo Slide,Rollup-Format,Time-Start Pools String,Stream-Pools,Stream-Finals,Stream-Pools URL,📺 Pools Stream,Stream-Finals URL,Smash ID,$-Winners Info Collected #,$-Unreg Bonuses,$-Pot Paid Out,Logo gDrive (from Game),Promo copy,$-Pot Split,$-Pot Bonus Info,$-Prizes,Staff-Bracket Runners,Pools-Bracket Type,Pools-Rounds per Game,Pools-Games per Set,Rules-Game Settings,Rules-Chara Change,Finals-Games per Set,Rollup-BRs,Time-Desired Day,Setups-Secured,Info-Software Needed,Time-Est. Run Time,Info-Comments,Time-Alternate Days,Setups-Total Needed,✓-Slide,Staff-Support,Time-Desired Time,Rollup-Support,Rules-Glitches,Rules-Notes,Time-Unable Days,$-Pot Split Further,Multi-day Event Info,$-Pot Bonus Amount,IRL-Unreg-Swaps,Time-Start Day,✅-Scheduled,IRL-Unreg,Format,# of Players on Team,Rollup-Commentators,Staff-Commentators (Twitter),Staff-Commentators,Staff-Comms Pronouns
ABKAA (Flycast),recE0y4mYTZlFeWaZ,64,recJiqsk1UknhuVbe,ABKAA,recFqOvMP2cuSIpxU,https://v5.airtableusercontent.com/v3/u/46/46/1760428800000/5ol1GJV_pAuv35fjcL8GqQ/LAzonEgZGiK0AZbuIkyKD2Vzh07kkagdroj5wDVyhY7ipwI_yNbn0LpAMUq7ZIyshgyamg1nMsx_4Vt5_VgM1QJbtOcLF_4NdIkgPl3WRO_a-MAMjEepaOonQhH1Ai0rCeYRD-LUqS3lm0BhZcDl9SujEhuv9TaBeDnb97IxcRntuhxy534mGAb2cFLUDt5H/vcO-iVPC-l984PBqWjc9GTScZntk9IuQYUo7ezJfVtg,Akatsuki Blitzkampf Ausf. Achse,Mibeador,ABKAA%20%28Flycast%29,0,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xviii/event/akatsuki-blitzkampf-ausf-achse,2025-09-20T05:40:06.000Z,Akatsuki Blitzkampf,0%,0,ABK,1st Lineup,recVxvEZbXd62y97i,2025-10-06T06:43:31.000Z,recoqQNwa1k9jJyDq,Mibeador#837250,@Mibeador,0,None,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xviii/event/akatsuki-blitzkampf-ausf-achse,,https://vortexgallery.moe/info#ABKAA,0,0,0,1,None,8e78eae6,0,0 Hours,mibeador,Flycast,True,,True,5,https://v5.airtableusercontent.com/v3/u/46/46/1760428800000/LgAPGHzfjR8b2lfb5ZJMfA/kuvwKovfmLbBc_dvDKROvmbtkSlMkfZf6EkzDCUYDzOlVy6l3RbCp2kj_CaEdPkOGUG6R_YWEgKnqYibUGIzj5QY0FcK5_Hgw3oHtOYZLThG3jsHDLvdAXbUaIS65YqOZSMnGGR-10rHlIOPOdKPJPPNC6PFT7tZcm-hdcUTbO4/x4aNa-Pq8dgD5fOYVMj-TMBYGAFnpypSTvhjGUFRU8Q,,None,,,,None,,,0,0,0,https://drive.google.com/uc?id=1AG77jbWU0WB1J-JhEJB_XUY42nJCA1vN,recLTvAn1P3hEJqMW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP (PS3),rec1k29PIODFrgUjb,16,reckEdLewH8IjZWsC,AP,recA1d7QIZ5iizh13,https://v5.airtableusercontent.com/v3/u/46/46/1760428800000/bxIXZQi_Tyb_cVaymLIsGA/C_lfJHhcDcSy_APCp5Yz1ufHSlsEFfNXtHLkPfdr2DmlKxwS_Fsu4gyFNYiOfQugislH2qjiLe6rCZ5lgPPvTu_eFUad34r5ZWyIM-LWbRNT8g1KY0K01K5SMyrRhtETiTEWLlMl3Eq6bzPZeJmmwQ/7UePhBE9V8HmjYwqpT5u8Jzg2oDAJUQP8-wJY3BD7Bs,Aquapazza,Crimefighter,AP%20%28PS3%29,0,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xviii/event/aquapazza-aquaplus-dream-match,2025-09-20T05:40:08.000Z,Aquapazza,0%,0,AP,1st Lineup,recinc6b9NNMARnpU,2025-10-06T04:59:17.000Z,recHL5DyrRMFxH6pN,Crimefighter#489199,@crimefighter.bsky.social,0,None,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xviii/event/aquapazza-aquaplus-dream-match,,https://vortexgallery.moe/info#AP,0,0,0,1,None,dc289a78,0,0 Hours,Crimefighter,PS3,True,,True,5,https://v5.airtableusercontent.com/v3/u/46/46/1760428800000/J4k1NcEPHjcTsu5jTyQfNw/mtM89n1awsHyEq7f6Y-JRrf5mO2pw0Pj8DWc9DsdTCbydwQ_j8XbKTS8yqumE39UPqtGs909Ra3UaddacDM7rpfC6z_--NW7ppzzKT4H98buD4ItsOZEGfF0XWAE5mbdot7EpFiuArfvN3Fk-nJpbGGXhdLuk8Jq8eRd81BA0Ho/HQRFUwsKOGDEDisMyU_2gEc--nVFOJovCz70WcjEmf0,,None,,,,None,,,0,0,0,https://drive.google.com/uc?id=13r0YYz07CqZl5nIc6btZx1FP7J-X2N7b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AH3X (Steam),recpdBbNorVCeDlKg,64,recfyAg5ovnjNXPdH,AH3X,recM4Cv4VmWVMuePY,https://v5.airtableusercontent.com/v3/u/46/46/1760428800000/_YMA9htAfZFiPhUkzSrfKg/Rd0N88AG69JKHQ5cVKurGiTcu331Dz-ljlBkTXFmdbmFjPKLYUeGnA2zkNIA7fqZB32mCE4RQBiZMwdNGxFT52TIyIHhOvxbUc_UJEdhbTETbcceG1fByFTOJuwY8dniHvus5jahLkDjkmrS74KbQ98DiNz5n6ol-QEzQLf5sRs/3heUe8jxBXybeGgzCr3tT9glau1UsqQ4Brp5yilmrek,Arcana Heart 3 Love Max !!!!! Extend,Chrono Sanaki,AH3X%20%28Steam%29,0,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xviii/event/arcana-heart-3-lovemax-sixstars-xtend,2025-09-20T05:30:53.000Z,,0%,0,AH3X,1st Lineup,recWhY5XqcZagROcT,2025-10-09T05:23:32.000Z,recPkjeM9Hyj5hRGn,Chrono_Sanaki#1028004,@ChronoSanaki,0,None,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xviii/event/arcana-heart-3-lovemax-sixstars-xtend,,https://vortexgallery.moe/info#AH3X,0,0,0,3,0.625,f5477784,0,0 Hours,chronosanaki,Steam,True,,True,5,https://v5.airtableusercontent.com/v3/u/46/46/1760428800000/vM6q46XpYoWZgu7Cgemrcw/gJpPCsTQpjZtMFMt95Om_2bOZEjW8U96PCmrD8RQiVbLCr4Y13QGgyLfiKABypXq5pqPLFUy81hFw46bg_7J9_2imsLTUqg6Z-TDyba1e5oJBk6knz-ygq7LRPS91kSc8OC50iDFGEyM_IHls20QB-2RpblEZ3iCjaJu8Z1Lfbs/JgLpv6iw8JUt4CspKIeJQWdanxsaZH3ppGLAt09aZeE,,None,,,,None,,,0,0,0,,,70/20/10,"No concrete info on pot bonuses yet, ideally if there is one it'll make its way to the Matcherino",1st place winner wins a free copy of the Arcana Heart 2 drama CD as provided by the TO,"recpdBbNorVCeDlKg, recdXMvjXubl5xLYk",Double Elimination,2/3,2/3,"Timer set to 60
",Winner must keep character. Loser may switch.,"3/5 Games for Losers Finals, 3/5 Games for Winners Finals, 3/5 Games for Grand Finals","Chrono Sanaki,Akuadynasty",Sat 1/25,5,"If a laptop setup or PC setup is provided, please ensure that the game's frame rate has been locked to 60FPS via NVIDIA Control Panel (or another specific application)",4 Hours,Ideally I would like to run First to 3 for all of Top 4 rather than have Winner's Semi's go First to 2 but no such option existed in the designated tournament format section,Fri 1/24,8,True,"recQi3lqpOtT1klOi, recdXMvjXubl5xLYk, recpdBbNorVCeDlKg",8 PM,"LegendaryBlueShirt,Akuadynasty,Chrono Sanaki",,,,,,,,,,,,,,,,
ASUKA (MiSTer),recASUByC2x7zWlbl,32,recvZAlWTIeRqmKVz,ASUKA,rec5kbVKQvJL8Tw6P,https://v5.airtableusercontent.com/v3/u/46/46/1760428800000/b-2WFnvCGN7EVNDAEUqbHA/u5qQpRrqp6k2curm3PCa2j2J6ysRiJ-1F8DLkYQj8efb_v-xqUwoaYGI-Y5Vw3CcicoI1qPy0y6wPCuX3qKQJR6MBiK8ZVagTFL_ZyWrn0IURj9ZFlbTUtZjMGuMd35x-wCqPTv3QHgMZlW5Hno2grqTJBOYFy9ATKSltpU8IJQ/Vmpi5Nvf10KbRytyKxasTNXv2OcUzRLVmx9-Lqx3mfs,Asuka 120% LimitOver Burning Fest.,Narr,ASUKA%20%28MiSTer%29,0,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xviii/event/asuka-120-limitover-burning-fest,2025-09-20T05:30:39.000Z,Asuka 120%,0%,0,Asuka 120,1st Lineup,recsjzSn9OyxGku3g,2025-10-08T15:48:37.000Z,recgQGPoCQ9F5qCLA,Narr#916597,@gunstargum,0,None,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xviii/event/asuka-120-limitover-burning-fest,,https://vortexgallery.moe/info#ASUKA,0,0,0,3,0.75,14ede121,0,0 Hours,trainerhilda,MiSTer,True,,True,5,https://v5.airtableusercontent.com/v3/u/46/46/1760428800000/owWcq41T9irIG-lm6ndSxw/8cTqDY1CUXZqRgGvpHfC57Ab2rg6HtAkVvX2o-SAH8O_16IPbwL0toI77XYe3y9JCHIeTIx7pSK8MzMdoVyzZMbGS42CZmpOYupKZXbl0Te_rrVhOTi69GrqaLtWOeYCoKnoZYVGkpfeHnzEQIKfVrTufuuc15zupc1DW_Mf3OU/x1lvd7uOg6FgMkPxrcZ-6S0XfA3ylhcGocNE09jB3So,,None,,,,None,,,0,0,0,https://drive.google.com/uc?id=1_z5CaLFt308gk4vceWsr34srFXXBnCvs,,50/30/20,,,,Double Elimination,2/3,2/3,Torami is played at Handicap/Handy 4.,Winner must keep character. Loser may switch.,"3/5 Games for Winners Finals, 3/5 Games for Losers Finals, 3/5 Games for Grand Finals",,Sun 1/26,3,,2 Hours,,"Fri 1/24, Sat 1/25",4,,,12 PM,,"If Kumi's 214C handcuff glitch occurs, the Kumi player must immediately neutral jump j.C to end the glitch. Continue the match as normal. Using any other moves or attempting to timer scam will result in a game loss.",Players are heavily encouraged to hit the reset button in front of the setup after they play their set.,,,,,,,,,,,,,,
BBTAG (PS4),recD7i2NAVdmyKIDT,64,recR2YE3Oc1yTh3jJ,BBTAG,recD6VgyooeWVVNbV,https://v5.airtableusercontent.com/v3/u/46/46/1760428800000/yxVfIauuJaApFlHw_HYhVg/pxTqga_86BGf8OaHTtNkRzDHcpQ8yeEdvXfigbyLoq6ByNryWvd3nwfOv_AayURePhyxKLzRmiEMK0RGxbkPxThm40OzNACgFfugEZUQNlCZFFvTNlT90qpLYmPge2h6mdMP7nQafLPcTDLa_kj4SQ4miKdjmxPXIu1YtgQ78D8/tBzWV5uZxuk_V6V8-49pfwsqui8ZPP3N2u6rH2fBlKw,Blazblue Cross Tag Battle,GTek,BBTAG%20%28PS4%29,0,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xviii/event/blazblue-cross-tag-battle,2025-09-20T05:30:33.000Z,BBTAG,0%,0,BBTAG,1st Lineup,recV6irNLkHsWnj0B,2025-10-08T15:34:08.000Z,recYdbHI325YI2pVO,,@gtekfgc,0,None,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xviii/event/blazblue-cross-tag-battle,,https://vortexgallery.moe/info#BBTAG,0,0,0,3,1,40120ab9,0,0 Hours,Gtekfgc,PS4,True,,True,10,https://v5.airtableusercontent.com/v3/u/46/46/1760428800000/ihIdEUntH25NW12YB1Z2iQ/NzYC4M29qaXU2mpK0ItPh9X5onwB0wg2RAF1Vmt6ZWRAFdIKAoELkDl_w3Bvc34rxbBp7q_IS_0WP9FUvPu0VBmK3jzqvx9PZxrIi8szPoDmkjuBLlC57Um8iD3q66lF9LAZE3et5PIgOrvFHl6FV-TVgrpHRRQHrVHwpstRUQA/hhRaT7PCvkwFWv56QHdbHX8wBgHgePQw_ODfHcR3p8s,,None,,,,None,,,0,0,0,https://drive.google.com/uc?id=1jwyl1tmiRjnyOCp8kNSXnVQGSYMnx7-2,,60/30/10,,Possible Trophy,,Double Elimination,N/A,3/5,,Winner must keep character. Loser may switch.,3/5 Games for Top 8,,Fri 1/24,4,,6 Hours,,Sat 1/25,4,,,12 PM,,,,"Thu 1/23, Sun 1/26",If it hits cap then it will be 50/25/15/10,If Pools want to start later on in the day on Friday and then Top 4 be in the morning on Saturday that is cool with me,,,,,,,,,,,
CCNSOC (PS4),rec1k29PIODFrgUjb,32,recwOKTc5XXbn2FxN,CCNSOC,recdDF9WHTt8d2wle,https://v5.airtableusercontent.com/v3/u/46/46/1760428800000/sn60_L1ZHaEhn4_gr2GlaQ/T1gUf5WOAOqf91KbapvUMYCPOwye7FMygKb3CA0A4s9PWQ-4ScAQ9e1FHyO_CXGMYzyv6LkSok6fIQF0VQJ8pvbPodQDbpSDHqYjkuOYwhMoJhdEv6AcOe-Ktmk6tnvg8S1aPj3zoymZ2xOiZ6sOUw/LMBBhbuEa6A_pgj_os9T-BNEKB7-3qn1TyyA1V0tpIc,Chaos Code: New Sign of Catastrophe,Crimefighter,CCNSOC%20%28PS4%29,0,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xviii/event/chaos-code-new-sign-of-catastrophe,2025-09-20T05:30:55.000Z,Chaos Code,0%,0,Chaos Code,1st Lineup,recV6irNLkHsWnj0B,2025-10-06T04:59:29.000Z,recJPtNMrXgQ78wm9,Crimefighter#489199,@crimefighter.bsky.social,0,None,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xviii/event/chaos-code-new-sign-of-catastrophe,,https://vortexgallery.moe/info#CCNSOC,0,0,0,1,None,dc289a78,0,0 Hours,Crimefighter,PS4,True,,True,5,https://v5.airtableusercontent.com/v3/u/46/46/1760428800000/5Zl_BBX5wuQeaUc65oJn9A/tTH32LsR2Tbu2WUfI3AxP5j5uQaGibbF6Vi6iexdNRUlr70tw_cLygWocAaTVE4PPE2ruYSCvHPXJ5x-kd_Gg9PlgpYfCyJDHPP4h6YoKtcMjwsAEyylO7soCsdXQ3BhcDiKzb2wmbmyJdRGZw0MtZuUVqTFYdXwGX2QidkHyGQ/RlRsCBno0ncmFCMrDSw4plTW2f1c4gzlxEmrrjPDcVA,,None,,,,None,,,0,0,0,https://drive.google.com/uc?id=1vLQqyfgaS6haws59zhOFKiU8VMukaM-U,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
CBOTS (MiSTer),rec84evYJFMyISq4f,32,rectZuU7InifNYEdK,CBOTS,recPtLSGWYXOicZYa,https://v5.airtableusercontent.com/v3/u/46/46/1760428800000/ygdescC93ko6LzWGvUFjVQ/Mi4O679EdhNml_uwSH6miQr4OkP3fheZDGAzxCEek5kJwrJqd-MFJ0M2dOguT8FmQPqqTR-ESwsDJ_Q1iSBu0mI8H6wdob86c8BWJN_basu9PfpFqR2zbrfz4sHYYYlQuY_feJ2URd8ayv1ECyPlmw/2Mwsbu88egrpsgwCkBi1yRpBrZoChTeYnm0RGTv9yg0,Cyberbots: Fullmetal Madness,PolarBair,CBOTS%20%28MiSTer%29,0,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xviii/event/cyberbots-fullmetal-madness,2025-09-20T05:39:29.000Z,Cyberbots,0%,0,Cyberbots,1st Lineup,recsjzSn9OyxGku3g,2025-10-09T16:29:15.000Z,recY9oKWXSGvG06bL,PolarBair#731171,polarbair.bsky.social,0,None,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xviii/event/cyberbots-fullmetal-madness,,https://vortexgallery.moe/info#CBOTS,0,0,0,3,1,a88e8515,0,0 Hours,polarbair_8,MiSTer,True,,True,5,https://v5.airtableusercontent.com/v3/u/46/46/1760428800000/wQISuBeNjLhp75wbtf5-sg/yxaLXjjIXwBCHegtFAmf3y__DBtNvB_B8jdGgsQiHhw_zZ2LdNk_77jz6TEUfOywfNKU6aCAi_xt7qXBVDneAGOb43ghnLE-7zzBgNwQlar_AGK-T83rQ7fGs3aa0LOO29eyE3J9TMyaFvsFwAhu2MfPc5uF_7pEgcF7LsCRLBY/ENA1cD1K5UEj1tkxNWz6O6eiHNwOFKCQMemkPzVsVGc,,None,,,,None,,,0,0,0,https://drive.google.com/uc?id=1sTtVZUDAoW2-AyTu5sErtNnsmkZlxbxf,,50/30/20,,,,Double Elimination,2/3,2/3,,Winner must keep character. Loser may switch.,"3/5 Games for Losers Finals, 3/5 Games for Winners Finals, 3/5 Games for Grand Finals",,Fri 1/24,4,,3 Hours,,"Sat 1/25, Sun 1/26",4,,,2 PM,,,Warlock is banned.,,,,,,,,,,,,,,
DA (PS3),recvs9QxkcstAlXlk,48,recUNSOj4QTIcejON,DA,rectgStwcOrGxCljk,https://v5.airtableusercontent.com/v3/u/46/46/1760428800000/agZxEXEZP5Qw0V5_l7TyVg/7YP1ssSl1dd-It80kiC4b707-aCm701V0Q0v0DHFL_dvZj4UhDTK-0icdfS8YXnd2gAG5uKoMlS0M5nTcIPf_mQ_10-yOnB5Y4usM1vbUahBc2yvHJxAzUCUIlMszWDJLnY3JFlUTv2-QykvlpRmpGEpl4QNRvbUuJgwTjwxwoQ/EAXk6M4OIt8K5slOv2VOZdQfenCVK_kV0Sh-1lP5a9s,Dark Awake,lateenx,DA%20%28PS3%29,0,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xviii/event/chaos-breaker-dark-awake,2025-10-08T00:14:23.000Z,DA,0%,0,DA,2nd Lineup,recinc6b9NNMARnpU,2025-10-13T04:32:44.000Z,recWiItgFowdPELrp,Dshiznetzz#695170,@dshiznetzz,0,None,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xviii/event/chaos-breaker-dark-awake,,https://vortexgallery.moe/info#DA,0,0,0,4,0.75,602869e0,0,0 Hours,vatoheem,PS3,True,,True,5,https://v5.airtableusercontent.com/v3/u/46/46/1760428800000/r19-8snuNcc7jBJF3LBqzg/vgqyfEZj22Vw5f14aL2IcRR7H0q0nX3ZahJ51N2p7D95yQ7tN1G9tF6SBxGcxntBn_STpxuYHOCAhkJmCTe-Mw9yKK8lrGcorIJ0UchnKIamQ0WzkFebKsOTtHJga9TggGaTch6ez2JoBDMu60btHVbHNzNXZgRdPgyPNofrcaE/8kXet0QYwQKA-_WdDPXWr4EXnsq_kOnn-W_3deGZcnU,,None,,,,None,,,0,0,0,,,TBD,,,,,,2/3,None,Winner must keep character. Loser may switch.,"3/5 Games for Losers Finals, 3/5 Games for Winners Finals, 3/5 Games for Grand Finals",,Fri 1/24,3,,6 Hours,,Thu 1/23,4,,,5 PM,,None,None,,,,,,,,,,,,,,
DOA6 (PS4),recumKKFyvUDmjR4h,64,recXGJiIQOsPOBTEN,DOA6,recH3Gd99SIRmevAH,https://v5.airtableusercontent.com/v3/u/46/46/1760428800000/frDEQOBjAgTV63flyxOMWg/vcFJ2u9Y6orbQdiFnzH0Yeoqe-e0T_hB9R4ZO4AQuuc9hvY_sn4dvQlBtrLwsf8dyMK1eX76MJVDiyKFAodr8iSDQ-aaJ8TSBuhP621hgHh7lUNbHkCn_kxMNO3JQdbWEnDpRSxS0twoJya1GMYOJn_Eb0x0pHVXbOVcsv3jziQ/DA_26IS0ElaB5mHyr-jVaxbYWFFYA7bL2dXqeXuuxYQ,Dead Or Alive 6,H0oDLeSs,DOA6%20%28PS4%29,0,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xviii/event/dead-or-alive-6,2025-09-20T05:39:28.000Z,Dead Or Alive 6,0%,0,DOA6,1st Lineup,recV6irNLkHsWnj0B,2025-10-06T04:59:48.000Z,rectXRmiQzzgML7Wd,ihoodless#715126,@ihoodless,0,None,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xviii/event/dead-or-alive-6,,https://vortexgallery.moe/info#DOA6,0,0,0,1,None,83daa16f,0,0 Hours,h0odless ,PS4,True,,True,10,https://v5.airtableusercontent.com/v3/u/46/46/1760428800000/bQKjTmumR3w6_RUjCk1c5w/XbkssHdUY3d0FmMAUMIkL6LcIEcEfn9daIzcQqu9UmiILLHjbQ2PO6zEiHbU2w86_nTnf_47_UbZ8XthtP4uJVJwMwWY32FRsl-8bmfeMwVwF-RwG2VQ3K8tXi-jwpV3Cbv0B2OOi-64Tb7EmM8uSeL8DrzbCOsll3v4EdgoAVQ/mqufw4qS-JPLGygNCXGAsdH4o1iohBL8Fej5vTeaPJg,,None,,,,None,,,0,0,0,https://drive.google.com/uc?id=1PAKjjK0J8LZ808Y0DeN-pNNYh47-6Kiw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJFFNY (PS2),recsnmM0N6emZ97dR,32,recONMbE2i2nbKhdx,DJFFNY,recqX1TggHaleJELG,https://v5.airtableusercontent.com/v3/u/46/46/1760428800000/cU1aZqU9NhH6H8bGRIGEBA/Fv3spiraYATn7fVn8Q-bnFQbYNXkUMZzJ_qMq3E_p9hv0d1xlWO0WVUlLs_DNPHqilo7myRWUeWXSE8Y7iBqSDexL4vXkbomBwcFJmxiAknuyY2addv_rbUsU5Z3fbNvKq7rRWoqUyg_U1FHd9V_LxEBeQ18XjPuDQJ2qoPThhk/S6hv-CUPVbfHn9-nlyDQmzQ4KvcrQi4Yo5ciXeaPCCU,Def Jam: Fight for NY,omega_black,DJFFNY%20%28PS2%29,0,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xviii/event/def-jam-fight-for-ny,2025-09-23T21:36:59.000Z,DJFFNY,0%,0,DJFFNY,1st Lineup,recwkWKMNrkMvzVF5,2025-10-06T04:59:43.000Z,recJISLWWYI4rt6Sp,omega_blackFGC#709267,@omega_blackFGC,0,None,https://www.start.gg/tournament/vortex-gallery-at-frosty-faustings-xviii/event/def-jam-fight-for-ny,,https://vortexgallery.moe/info#DJFFNY,0,0,0,1,None,3f7ca881,0,0 Hours,omega_black_was_taken,PS2,True,,True,10,https://v5.airtableusercontent.com/v3/u/46/46/1760428800000/WZIbbpj_mCDhI7-AZ6qaRg/0xJqK3qrd0dRiS6IKG9z_8P9rHaA_xXIlzz0ynkbV1e8R1MizzIathHLyRCKG5PKCOtv023wOimXz_s0GXL8wegc_a4UuAKkn3JB_H2uz3-gInB4BC2bAM-EfUipCafpKziawRb_zRSSQ2St7Nr2boFUi-TzPdQoEXC7jeytcLI/9YOphoYfd8-StD3Kbku6lyRtEQCi6_SELeBEpJ50PZo,,None,,,,None,,,0,0,0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
