Tournament,Staff-Lead TOs,Info-Cap,Game,Abbr-Game,Img-Game Logo,Game Name,Rollup-Lead TOs,Tournaments (Encoded),$-Total Match,Smash URL,Date Added,Discord Role,Info-Current Entrants,Info-% of Cap,Info-Entrants/Cap,# of Commentators,Short Name,Status,Data-Platform,Date Modified,Data-Game Record ID,Staff-Lead TO Match ID,Twitter-Lead TO,# Done,📺 Finals Stream,📋 Brackets,💰 Matcherino,🌐 Info,$-Match Paid Out,$-Winners Info,$-Top 8 Info Collected,$-# of Payouts,Setups-%,Staff-Lead TO Smash ID,Time-Run Time #,Time-Run Time,Staff-Lead TO Discord ID,Data-Platform Short Name,Staff-Streamers,Twitter-Streamers,Rollup-Streamers,Format-Rollup,Time-Start Pools String,Stream-Pools,Stream-Finals,Stream-Pools URL,📺 Pools Stream,Stream-Finals URL,Smash ID,$-Winners Info Collected #,$-Pot Paid Out,Regions,Region Abbr. (from Regions),Time-Start Day,Time-Desired Time,Time-Desired Timezone,In smash,Logo gDrive (from Game),Matcherino Reqd,Region Includes,$-Pot Split,Pools-Bracket Type,Pools-Rounds per Game,Pools-Games per Set,Rules-Game Settings,Rules-Chara Change,Rules-Glitches,Finals-Games per Set,Info-Software Needed,Time-Est. Run Time,Stream Links,Rules-Notes,$-Pot Bonus Info,Info-Comments,$-Pot Split Further,$-Prizes,$-Pot Bonus Amount
2XKO (Crossplay),recAjsoVDfDxlMjwb,32 Teams,recS8raiaUkqnvn0l,2XKO,https://v5.airtableusercontent.com/v3/u/44/44/1754546400000/ovpov60ZW952zJZYAF7d-A/G9onrm5OHse3l6R9wl2vgW6DO4SVwIKJAFlqve9Zh1w7EHnba0GgxJAR1OaOA0wf6t6lxQ33a0y59dnnIuGdn78bJZhr-f0m3oHGZqnxYfeE6m15MZyW5hA9dTyHbIuhUHG11O7H1pSNmkmq66SZS0Zmv0vRf6q9O_zgGPoMOKw/p2eUHzzbiKGG3mPtb3AV4cYbzdLv7m0LzylnEvNK6Rw,2XKO ,Aaron Curry,2XKO%20%28Crossplay%29,0,https://www.start.gg/tournament/vortex-gallery-online-2025/event/2xko-na/overview,2025-07-31T08:01:18.000Z,2XKO,2,6%,2 / 32 Teams,0,2XKO,Confirmed,recziemqtoaMc1PA9,2025-08-07T02:53:22.000Z,recElIRk3YoNcRn24,Curry#841598,AaronCurryDish,0,None,https://www.start.gg/tournament/vortex-gallery-online-2025/event/2xko-na/overview,,https://vortexgallery.moe/info#2XKO,0,0,0,1,None,b09af56b,0,0 Hours,aaroncurry,Crossplay,recG8UlbGpoWSqZkN,@gtekfgc,GTek,,None,,,,None,,,0,0,recEporlRbu93it1q,NA,,,,,,,,,,,,,,,,,,,,,,,,
ABKAA (Flycast),recfthYWrd5KdTAhg,128,recxzTvxs5shbV0AF,ABKAA,https://v5.airtableusercontent.com/v3/u/44/44/1754546400000/Xwao9CYv2_GS09zlBdDreA/V-KK59TrKw0hvl8F9yqGbUWaxGUy3qILZsk-mbJCCnvNPLkT_qcDgo3Hj1QBOW8w41f_xfZvbgbRWt_DvOPZaACSoAdkJBdHpOgZL0lhOxoA9YgdmIN77IaiHMlm4fG58I7fx8zgm347ZEMW4Elp1mqaaNxvG1MmA2VJfHPL1yn6BuecW9rwOFBWCOWO7oVB/TcUp4OTtXUvZxLrw5jci0HRFMNVmyT5muarW3E3yfRM,Akatsuki Blitzkampf Ausf. Achse ,Stew,ABKAA%20%28Flycast%29,0,https://www.start.gg/tournament/vortex-gallery-online-2025/event/akatsuki-blitzkampf-ausf-achse-na,2025-07-02T02:41:19.000Z,Akatsuki Blitzkampf,6,5%,6 / 128,0,ABK,Confirmed,recD8jYnPXVaG6YLX,2025-08-07T02:53:26.000Z,recoqQNwa1k9jJyDq,SSBStew#1119597,ssbstew,0,None,https://www.start.gg/tournament/vortex-gallery-online-2025/event/akatsuki-blitzkampf-ausf-achse-na,,https://vortexgallery.moe/info#ABKAA,0,0,0,1,None,9185ac54,0,0 Hours,ssbstew,Flycast,recLoWOjMBW8UTWOv,@Mibeador,Mibeador,,None,,,,None,,,0,0,recEporlRbu93it1q,NA,9/13 Sat,5 PM,PT,True,https://drive.google.com/uc?id=1AG77jbWU0WB1J-JhEJB_XUY42nJCA1vN,Yes,"USA, Mexico, Canada",,,,,,,,,,,,,,,,,
ABKAA (Flycast),,32,recxzTvxs5shbV0AF,ABKAA,https://v5.airtableusercontent.com/v3/u/44/44/1754546400000/Xwao9CYv2_GS09zlBdDreA/V-KK59TrKw0hvl8F9yqGbUWaxGUy3qILZsk-mbJCCnvNPLkT_qcDgo3Hj1QBOW8w41f_xfZvbgbRWt_DvOPZaACSoAdkJBdHpOgZL0lhOxoA9YgdmIN77IaiHMlm4fG58I7fx8zgm347ZEMW4Elp1mqaaNxvG1MmA2VJfHPL1yn6BuecW9rwOFBWCOWO7oVB/TcUp4OTtXUvZxLrw5jci0HRFMNVmyT5muarW3E3yfRM,Akatsuki Blitzkampf Ausf. Achse ,,ABKAA%20%28Flycast%29,0,https://www.start.gg/tournament/vortex-gallery-online-2025/event/akatsuki-blitzkampf-ausf-achse-global,2025-07-02T02:41:53.000Z,Akatsuki Blitzkampf,4,13%,4 / 32,0,ABK,Confirmed,recD8jYnPXVaG6YLX,2025-08-07T02:53:26.000Z,recoqQNwa1k9jJyDq,,,0,None,https://www.start.gg/tournament/vortex-gallery-online-2025/event/akatsuki-blitzkampf-ausf-achse-global,,https://vortexgallery.moe/info#ABKAA,0,0,0,1,None,,0,0 Hours,,Flycast,,,,,None,,,,None,,,0,0,rec11xnNbXFYlBovE,ALL,9/6 Sat,7 PM,BRT,True,https://drive.google.com/uc?id=1AG77jbWU0WB1J-JhEJB_XUY42nJCA1vN,Yes,,,,,,,,,,,,,,,,,,
ASUKA (PC),rec4qzWO4l7o6qdcQ,32,rec2gibJed9LV3VAv,ASUKA,https://v5.airtableusercontent.com/v3/u/44/44/1754546400000/D02nkx9pHXI0TKMAHwkslQ/iTaU3A6lw61ieF8M9_HHZIwBxeKpSg3RyMHiFnlO9TzOL5zNMXhN5VI2FdoYp7qNxiPjXQjSIbsycpBZwMI-Jc8Jmh43TYZm-f_E9LzJmgN10S7egIyv6muszDhjLA9xW-CaA30cYv5Egh32WfCE_0F0jSp5alYctNblZJZ2R1o/Agm4WYi_drWnzFnjhtAksfAAi_gie2zGOgwDgF-Ilc0,Asuka 120% LimitOver Burning Fest. ,SonofTzeentch9,ASUKA%20%28PC%29,0,https://www.start.gg/tournament/vortex-gallery-online-2025/event/asuka-120-limitover-burning-fest-global,2025-07-02T02:41:41.000Z,Asuka 120%,10,31%,10 / 32,0,Asuka 120,Confirmed,rec24jBOfifk8YfOs,2025-08-07T02:53:26.000Z,recgQGPoCQ9F5qCLA,Manolito_Gallegos#904066,@SonofTzeentch9,0,None,https://www.start.gg/tournament/vortex-gallery-online-2025/event/asuka-120-limitover-burning-fest-global,,https://vortexgallery.moe/info#ASUKA,0,0,0,3,None,a9d00a88,0,0 Hours,sonoftzeentch9,PC,recxTrXSfvsGf9FlR,@TheSailorVick,SailorVick,,None,,,,None,,,0,0,rec11xnNbXFYlBovE,ALL,9/7 Sun,7 PM ,CET,True,https://drive.google.com/uc?id=1_z5CaLFt308gk4vceWsr34srFXXBnCvs,Yes,,60/30/10,Double Elimination,2/3,2/3,"- all setup by default.
- Torami is played Handy 4.
- Ground Infinite are allowed.

More details: https://wiki.gbl.gg/w/Asuka_120_LimitOver/Tournament_Rules",Winner must keep character. Loser may switch.,"Glitches & Infinite:
- Kumi's 214C glitch isn't banned but you HAVE to jump > jC immediately.
- All Ground Infinites are allowed, have fun.

More details: https://wiki.gbl.gg/w/Asuka_120_LimitOver/Tournament_Rules","3/5 Games for Losers Finals, 3/5 Games for Winners Finals, 3/5 Games for Grand Finals","You need to setup RetroArch beforehand otherwise you'll be put in loser side, then DQ is still not solved.",2 Hours,,,,,,,
ABEW (FC2),rec47HnWqnEyoPQnj,64,recSEHVe3m8acSp6I,ABEW,https://v5.airtableusercontent.com/v3/u/44/44/1754546400000/ATn-JJ9WgaqmC68XBEg1fw/AntockVdwuTXC4u7rWTOzwtO0-Xq4E6d-2J9zPHy98ogbKrTr5yU3xwjz87d9Kf4Y4Ix9MTSnShpd66zbZF-rRWTsSRWn8YTsIgxzlgVAwkSBzWaXBWWU0L4zCI34MPzRnYyRUQPk5nXIodbRA7RYqGHQtlur2vt8xzEcKjlh8GQGJAqHGbfGGJA77JxOXVU/-_d1sv47D4lgSXKBWvi0d41qNEf-tso4BZpUUc52oqQ,Asura Buster: Eternal Warriors ,melody?,ABEW%20%28FC2%29,0,https://www.start.gg/tournament/vortex-gallery-online-2025/event/asura-buster-eternal-warriors-na,2025-07-28T02:15:24.000Z,Asura Buster,1,2%,1 / 64,0,Asura Buster,Confirmed,recuzzlHMMI2BlhKy,2025-08-07T02:53:26.000Z,recWaPp6B3gGDDrhP,melody?#920077,twitter.com/NightlyMelodies,0,None,https://www.start.gg/tournament/vortex-gallery-online-2025/event/asura-buster-eternal-warriors-na,,https://vortexgallery.moe/info#ABEW,0,0,0,3,None,b4ee975c,0,0 Hours,trans.wrongs,FC2,recnV75hOTcOovLQT,twitter.com/ViviMayoi,ViviMayoi,,None,,,,None,,,0,0,rec11xnNbXFYlBovE,ALL,9/13 Sat,4pm,,,https://drive.google.com/uc?id=1aCs0ayreEV6D0HtGZ3pCgtF-YC0iR2-W,Yes,,50/30/20,Double Elimination,2/3,2/3,,Winner must keep character. Loser may switch.,,"3/5 Games for Losers Finals, 3/5 Games for Winners Finals, 3/5 Games for Grand Finals",,3 Hours,twitch.tv/ViviMayoi,,,,,,
BBCF (PC),,256,recOR0cafWyvy79u7,BBCF,https://v5.airtableusercontent.com/v3/u/44/44/1754546400000/7CrF7-qgsiOqahhSi-sYVw/7jzmMXuBU-YLbBGslD2e5Z0EqtOe59vklxLK1AHjX0vbTHqbvlNqARYgapiLqm_6XkQYfC7cOtaye4vqvdP6iySrO2GBQ4yUDNGJS26vnSpb_uWtZ1Dzu1HLtIlrYHx1bDJYtt2Oi2LfuTHHtOuzYA30cCglY5pbNPG-qgt7BaE/WjCiEjZtH5ROm0yx2vLVCV82PfwxaPgZsj7sgnuS-ls,Blazblue Centralfiction ,,BBCF%20%28PC%29,0,https://www.start.gg/tournament/vortex-gallery-online-2025/event/blazblue-central-fiction-na,2025-07-02T02:41:50.000Z,BBCF,4,2%,4 / 256,0,Blazblue,Confirmed,rec24jBOfifk8YfOs,2025-08-07T02:53:26.000Z,reciPBu4tcSpo2Hq7,,,0,None,https://www.start.gg/tournament/vortex-gallery-online-2025/event/blazblue-central-fiction-na,,https://vortexgallery.moe/info#BBCF,0,0,0,1,None,,0,0 Hours,,PC,recyKBgHWbCFdznDe,@chickzama,Chickzama,,None,,,,None,,,0,0,recEporlRbu93it1q,NA,9/13 Sat,4 PM,PT,True,https://drive.google.com/uc?id=1rNnWD06DveHBoE-L31Ne6gdPudC0CCNc,Yes,,,,,,,,,,,,,,,,,,
BBCF (PC),recFo36zQL6UFn3zf,32,recOR0cafWyvy79u7,BBCF,https://v5.airtableusercontent.com/v3/u/44/44/1754546400000/7CrF7-qgsiOqahhSi-sYVw/7jzmMXuBU-YLbBGslD2e5Z0EqtOe59vklxLK1AHjX0vbTHqbvlNqARYgapiLqm_6XkQYfC7cOtaye4vqvdP6iySrO2GBQ4yUDNGJS26vnSpb_uWtZ1Dzu1HLtIlrYHx1bDJYtt2Oi2LfuTHHtOuzYA30cCglY5pbNPG-qgt7BaE/WjCiEjZtH5ROm0yx2vLVCV82PfwxaPgZsj7sgnuS-ls,Blazblue Centralfiction ,TheLagWizard,BBCF%20%28PC%29,0,https://www.start.gg/tournament/vortex-gallery-online-2025/event/blazblue-central-fiction-oce,2025-07-12T01:20:39.000Z,BBCF,1,3%,1 / 32,0,Blazblue,Confirmed,rec24jBOfifk8YfOs,2025-08-07T02:53:26.000Z,reciPBu4tcSpo2Hq7,LagWizard_A#1055218,None,0,None,https://www.start.gg/tournament/vortex-gallery-online-2025/event/blazblue-central-fiction-oce,,https://vortexgallery.moe/info#BBCF,0,0,0,1,None,78598fa7,0,0 Hours,thelagwizard_2086,PC,recZIH3u2sTxcm5lM,@tommoyang,tommo,,None,,,,None,,,0,0,recZao6hOj02EcUOE,OCE,8/31 Sun,9 PM,JST,,https://drive.google.com/uc?id=1rNnWD06DveHBoE-L31Ne6gdPudC0CCNc,Yes,,,,,,,,,,,,,,,,,,
BBTAG (PS4),recQ4UxuiqO85iuv2,,recyyKbi2Kz9VI88P,BBTAG,https://v5.airtableusercontent.com/v3/u/44/44/1754546400000/wmUMjbxTX9hzurh9LcTT2g/Hhny41L3OcdPk0uxdhepD2LJEU16f3FiOIsNKMImsPDQdI0ygQnfOxcKNJEtrr135fFrtiAMoCMFW00Bl2RwC1QafkBHrxqXplMRUfI3X78wjArd1WIv5dBVq8xPma3roWMeIorcxLm8rRAWNn2Hlg11VIWnP4u9sf7GvoLh-Eo/ZEnTCytCMDszXwPvcFRYl0aM9wPFKb8YC9zOxxbPYOw,Blazblue Cross Tag Battle ,Midorii,BBTAG%20%28PS4%29,0,https://www.start.gg/tournament/vortex-gallery-online-2025/event/blazblue-cross-tag-battle-na,2025-08-04T18:17:37.000Z,BBTAG,3,,3 / ,0,BBTAG,Confirmed,recUwDAXmLOClnqAZ,2025-08-07T02:53:26.000Z,recYdbHI325YI2pVO,Midorii#728049,@Mldorli,0,None,https://www.start.gg/tournament/vortex-gallery-online-2025/event/blazblue-cross-tag-battle-na,,https://vortexgallery.moe/info#BBTAG,0,0,0,1,None,6ea2e0a7,0,0 Hours,Midoriiii,PS4,recG8UlbGpoWSqZkN,@gtekfgc,GTek,,None,,,,None,,,0,0,recEporlRbu93it1q,NA,,,,,https://drive.google.com/uc?id=1jwyl1tmiRjnyOCp8kNSXnVQGSYMnx7-2,,,,,,,,,,,,,,,,,,,
CBOTS (FC2),rec7mlADXQ9VduQpU,64,rec74YlLjOt3QYuql,CBOTS,https://v5.airtableusercontent.com/v3/u/44/44/1754546400000/qbupapOoov4kTb1UL3FEeA/whz49bsXvsaw_Ki5zR3XgBu3OTqnu9UWi5vjkH_8TzyZL112sScwfW7HXDw273dN1rttHDieDFi2RnITcm7cY1SjuaU-8DwtrFA2UglINrs2oEwVpGL0R6iYHecA1IcnVOsm4yIyLS4Er_oR_O9y9A/Cmn-rtbOeFqJxUatBvzYBqGfTNOgZRXWvyiaRqRJ5ho,Cyberbots: Fullmetal Madness ,dazegambler,CBOTS%20%28FC2%29,0,https://www.start.gg/tournament/vortex-gallery-online-2025/event/cyberbots-fullmetal-madness-global,2025-07-02T02:42:04.000Z,Cyberbots,5,8%,5 / 64,0,Cyberbots,Confirmed,recuzzlHMMI2BlhKy,2025-08-07T02:53:26.000Z,recY9oKWXSGvG06bL,Dazegambler#1429538,@ArtsDazegambler,0,None,https://www.start.gg/tournament/vortex-gallery-online-2025/event/cyberbots-fullmetal-madness-global,,https://vortexgallery.moe/info#CBOTS,0,0,0,3,None,0ed30b6f,0,0 Hours,Dazegambler,FC2,recgel4HmRUbcoQkZ,@PolarBair_ON,PolarBair,,None,,,,None,,,0,0,rec11xnNbXFYlBovE,ALL,9/14 Sun,4 PM,PT,True,https://drive.google.com/uc?id=1sTtVZUDAoW2-AyTu5sErtNnsmkZlxbxf,Yes,,50/30/20,Double Elimination,2/3,2/3,,Winner must keep character. Loser may switch.,,"3/5 Games for Grand Finals, 3/5 Games for Winners Finals, 3/5 Games for Losers Finals",,3 Hours,https://www.twitch.tv/polar_bair_8,Warlock is banned.,,,,,
DOE (Steam),recly8QAyHmqnXfxa,64,rec6dmjPGpSILqbdN,DOE,https://v5.airtableusercontent.com/v3/u/44/44/1754546400000/md0fRgnvhoMIrrD51IzajQ/iJ5vg5JVNWlrBBuIzEs7YxQ3a3nx2CGWqKE__IVtWAKsPRK6sAwSHsJQeBq3XfR08GSFWZMc4NL3GMhUeW3HrWe9QbYDMm6m2TWUK7-ktMxYuHrifT3-oLStPXG82qjgjEOnN9mrYPEoMjbb2DNNycIqjWNG719aBWbmjk_h8oc/fwQgXPuUyxgXKaaLdKToPxAHLI8Vlq5MIkCc98uWJ6g,Duelists of Eden ,Calexe,DOE%20%28Steam%29,0,https://www.start.gg/tournament/vortex-gallery-online-2025/event/duelists-of-eden-sa,2025-07-02T07:59:55.000Z,,0,0%,,0,DOE,Confirmed,recIMmOa3K2dhwHzo,2025-08-07T02:53:26.000Z,recbQSo6weeXiPpTL,Calexe#862068,@Calexeee,0,None,https://www.start.gg/tournament/vortex-gallery-online-2025/event/duelists-of-eden-sa,,https://vortexgallery.moe/info#DOE,0,0,0,4,None,ae250f24,0,0 Hours,calexe,Steam,recDvUvF9WzzSaqzQ,@Syokamorii,Syoka,,None,,,,None,,,0,0,rec26HdoLXe0utdnM,SA/BR,9/6 Sat,5 PM,BRT,True,,No,,N/A,Double Elimination,3/5,3/5,"- No ratio applied;
- Only loser can change their deck and character.
",Winner must keep character. Loser may switch.,,"3/5 Games for Losers Finals, 3/5 Games for Winners Finals, 3/5 Games for Grand Finals",,2 Hours,"twitch.tv/duelistsbrasil
https://www.youtube.com/@DuelistsofEdenBrasil

both for stream pools and finals",,,,,,
